int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,51,34,2007,2008,2008,2008,864131319,1427100340,754,1034,1062,1084,181,13969
Bulk carrier,107,101,2009,2009,2009,2008,10893542784,19652623865,2516,2583,2930,2990,918,71003
General cargo,53,29,2000,2006,2008,2007,843890390,1144653842,866,1954,1390,1247,182,13974
Miscellaneous - fishing,14,11,1989,1986,1983,1983,106143280,52250460,778,5736,4996,4226,71,5365
Container,118,38,2003,2004,2004,2004,1764307426,2249508613,634,684,711,708,357,27541
Oil tanker,5,5,2002,2002,2002,2002,177642519,294956396,1515,1459,1375,1368,34,2606
Refrigerated bulk,25,13,1985,1988,1990,1989,75254702,86607269,609,963,891,892,97,7350
Ro-Ro,14,10,2005,2005,2008,2008,1104253195,548382533,862,1495,1431,1448,109,8469
Offshore,3,3,1990,1990,2011,2009,34534320,17795145,1959,2065,3018,2698,12,867
Service - tug,3,3,1987,1987,1985,1980,927869,443842,1009,1154,1090,1268,7,561
Vehicle,1,1,2011,2011,2011,2011,243902815,65664758,4000,4000,4000,4000,11,847
