int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,245,131,2006,2007,2007,2007,5705326536,9060493171,760,962,1032,1035,1195,92339
Bulk carrier,163,102,1997,1999,2005,2006,6907634352,12520630006,938,1559,2160,2288,641,49380
General cargo,565,214,1989,1991,1993,1994,2848801532,3751918397,900,1011,933,938,796,60674
Oil tanker,505,280,2008,2009,2009,2009,36624929885,68111171583,767,1153,1184,1188,3756,290899
Container,392,77,2002,2001,2001,2001,3017913756,3782424635,550,674,681,689,902,68895
Service - tug,157,22,2007,2005,2008,2008,68906780,58854689,181,379,249,244,58,4371
Vehicle,128,44,1996,2003,2004,2004,11458665323,3826352346,1032,2978,2766,2809,871,67310
Offshore,191,19,2008,2005,2008,2007,290091475,333237599,201,221,253,231,123,9259
Service - other,13,5,1981,1988,1986,1989,25663612,37818726,686,969,830,792,16,1168
Refrigerated bulk,26,21,1994,1994,1994,1994,727256547,798569187,1548,2826,3367,3322,371,28267
Ferry-RoPax,1,1,1986,1986,1986,1986,1918019,701562,418,418,418,418,1,55
Liquefied gas tanker,100,14,2010,2009,2011,2011,1178000755,1266338499,524,1590,957,936,351,26793
Ro-Ro,23,9,2006,2002,2014,2014,1409038335,1205785869,1673,1287,1633,1657,147,11404
Miscellaneous - fishing,4,3,1987,1989,1990,1990,428618,491982,557,739,196,188,4,316
