int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,84,69,2012,2012,2012,2012,6840794594,11976658682,2806,2741,2651,2667,622,48164
Vehicle,36,31,2009,2008,2009,2009,2381561953,780901118,1186,1031,1059,1074,137,10618
Container,276,53,2004,2003,2004,2004,3388997141,4231977475,482,604,577,576,746,57342
General cargo,94,30,2007,2005,2007,2008,611331169,805298197,810,1568,982,955,161,12411
Chemical tanker,40,25,2009,2009,2009,2009,1786049775,2858366516,1337,2258,2054,2042,273,21111
Refrigerated bulk,6,5,1993,1995,2003,2003,74494779,84895313,1039,1604,1643,1639,114,8575
Liquefied gas tanker,15,7,2013,2012,2013,2013,314759050,363925784,920,1749,1788,1824,59,4553
Cruise,36,12,1992,1996,2000,1999,891497886,102185212,696,731,688,663,214,16550
Ro-Ro,10,3,1990,1998,1982,1984,10427741,7201378,239,248,347,349,24,1782
Miscellaneous - fishing,11,10,2005,2004,2005,2004,35136717,20830666,1181,7703,2942,2134,63,4724
Oil tanker,19,7,2010,2010,2010,2010,1555110461,2709976415,2894,1665,2562,2583,253,19583
Service - tug,4,3,1998,1999,1995,1994,2562047,855690,544,2490,1995,1280,7,544
Service - other,4,3,1981,1983,1985,1982,7969384,3402719,1652,1660,1407,1464,13,996
Ferry-pax only,1,1,1997,1997,1997,1997,7305,7079,28,28,28,28,1,72
