int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Pulau Indah,7168,2035,2006,2007,2010,2010,652564776974,762973044724,921,2024,2241,2292,64014,4952028
Tanjung Pelepas,1036,265,2005,2006,2006,2007,33486649074,38180034768,626,1114,1208,1174,4605,356036
Labuan,625,359,2008,2008,2004,2006,14832711664,17705303193,972,1854,2266,1924,3134,235014
Pengerang,5819,3311,2008,2008,2009,2009,1084139699240,2023618178595,1755,2624,3062,3078,61084,4717787
Sungai Udang,679,537,2006,2007,2010,2010,106320964005,195782110835,750,2194,3604,3726,8843,677538
Port Dickson,529,345,2008,2007,2009,2009,22310406112,37106585631,586,1462,2075,2099,2573,197436
Port Klang,2313,946,2006,2006,2008,2008,88298160101,114774193257,588,1455,1254,1547,11733,906732
Kuala Selangor,148,128,2005,2005,2008,2008,8969624477,15811525127,881,1619,2455,2700,985,76122
Tanjong Bin,3407,1268,2007,2007,2011,2011,464752834213,571166663821,1414,2213,2538,2549,43734,3384518
Sandakan,306,177,2004,2007,2009,2009,5285286634,8502988944,1180,1644,1580,1653,978,75239
Pasir Gudang,2827,1255,2007,2008,2008,2009,51243640337,80531417883,326,1446,1609,1662,8716,667028
Pulau Pinang,594,247,2004,2006,2007,2007,16953596334,18494601356,502,1312,974,1357,2670,206042
Tanjung Gelang,1167,661,2006,2007,2008,2008,18984035799,30000155928,588,1134,1183,1230,3190,245093
Miri,187,135,2010,2009,2008,2008,5705900378,6743288770,916,1812,2183,1758,894,61247
Lutong,105,73,2008,2009,2007,2008,712809296,983221041,921,1458,1307,1223,214,16287
Kuala Dungun,72,59,2005,2006,2006,2006,968149989,1439258066,729,1103,1264,1239,157,12066
Malong Marine Terminal,80,72,2006,2006,2006,2006,3165664563,5643498980,951,1867,2340,2416,311,23911
Johor,220,72,2005,2011,2013,2013,2779903615,4301293818,290,981,1657,1625,503,38708
Kampung Tanjung Langsat,583,450,2008,2009,2010,2009,21538159413,35692922775,693,1658,1900,1932,3479,268307
Kemaman,484,251,2009,2008,2011,2012,7814856921,13491408185,587,1474,2477,2855,1208,92261
Tapis Marine Terminal A,49,47,2006,2006,2004,2004,661349618,1055134762,896,1416,1456,1433,118,9071
Melaka,154,116,2004,2006,2009,2010,5594490955,9037612424,664,1413,1630,1801,751,57326
Sungai Udang Port,101,82,2008,2008,2006,2006,2617225650,4406565875,498,974,1133,1167,561,43398
Kertih,237,157,2008,2008,2007,2007,3943975768,6261264634,742,1363,1033,1003,724,55689
Malacca,205,159,2006,2007,2008,2008,16453253857,29249982218,731,1673,2605,2686,1943,150027
Kunak,71,47,2004,2005,2006,2006,1107020428,1739450281,1114,1387,1375,1354,250,19185
Bintulu Port,1076,599,2006,2008,2004,2005,106559564281,102667916415,1837,2079,2665,2505,13970,904201
Penang (Georgetown),65,61,2006,2006,2008,2008,3165002628,4962538482,1164,1846,2329,2517,373,28816
Lumut,629,432,2008,2008,2011,2011,117757698712,229558972198,1153,1959,4127,4257,6178,477997
Beaufort,58,45,2006,2006,2005,2005,5927975132,10898746989,1364,1707,1864,1867,466,36096
Penang,140,101,2008,2007,2009,2009,2496191302,4006472519,441,1293,1569,1616,375,28819
Perai,172,139,2008,2008,2010,2010,5107703469,8348530993,527,1787,2025,2057,743,57283
Muar,1918,228,2014,2008,2012,2012,13282129502,19818268067,83,960,628,621,1257,96314
Bakapit,43,38,2008,2008,2010,2009,1414313831,2353288900,1911,1979,2431,2466,200,15454
Lahad Datu,242,181,2006,2007,2009,2009,5059889858,8199383492,1303,1780,1678,1673,936,71989
Sabahat,35,35,2005,2005,2011,2011,1613767076,2797558204,1831,2532,4050,4259,185,14259
Kuala Trengganu,90,72,2006,2006,2003,2003,633618016,996110691,591,951,1107,1124,120,9171
Kota Kinabalu,173,117,2005,2006,2008,2009,4870673074,6980126513,1078,1525,1468,1784,706,54314
Tanjung Manis,133,92,2006,2007,2008,2008,2149820399,3112837240,973,1581,1520,1560,365,28010
Kuala Besut,50,43,2008,2007,2005,2005,197892430,266192170,633,1481,1291,1240,78,5932
Nenasi,59,46,2009,2008,2005,2005,263958102,411516845,365,618,1166,1186,37,2834
Senari - Sarawak,295,146,2004,2006,2005,2006,3229015369,4313879053,818,1491,1245,1478,678,51963
Pending,52,34,2001,2005,2005,2005,427004744,482974131,719,1214,1112,1441,79,6036
Kampong Tanjong Kupang,83,38,2013,2012,2011,2011,110029277,176084959,36,249,179,186,45,3437
Tawau,225,114,2001,2006,2005,2007,2598633322,3508810817,1080,1808,1258,1471,524,39973
Sapangar Bay,103,59,2004,2005,2004,2004,1925192516,3016134518,1005,1312,1383,1528,286,21969
Tanjung Lembung,46,40,2005,2004,2005,2007,879818801,992538334,829,6307,1359,2028,233,17760
Jelutong,13,13,2006,2006,2005,2005,218421608,367340371,998,1470,1717,1796,54,4091
Gebeng,5,5,2004,2004,2011,2011,34232897,41051341,564,960,1854,1775,7,525
Bangau,23,22,2009,2009,2010,2010,444841292,747489647,1142,1258,1655,1642,51,3908
"Sepang, Selangor",10,10,2002,2002,2006,2006,474573904,645789874,1933,2397,2493,2323,76,5892
Penara Marine Termin,32,30,2007,2006,2005,2005,1053401122,1886829492,1114,1296,1620,1626,99,7614
Batu Maung,69,50,2005,2006,2006,2007,1539941262,1880355954,696,1388,1491,1603,229,17644
Bintulu,60,48,2004,2006,2006,2005,760163264,1109675785,998,1356,1830,1844,169,12943
Tampoi,36,16,2013,2012,2008,2008,259917716,431029190,252,1116,1263,1218,36,2776
Kuantan,47,30,2010,2008,2012,2012,522274705,909642355,649,911,1541,1558,70,5354
Sungai Way,4,4,2012,2012,2013,2013,166917796,289963941,1727,2508,1798,1778,24,1880
Bintangor,9,7,1996,1999,1992,1992,26922017,37577934,950,1728,2385,2282,13,941
Segamat,13,11,2006,2005,2009,2009,418685300,748222225,640,980,1253,1260,51,3908
Hutan Melintang,13,13,2007,2007,2008,2009,335978691,486914353,1723,1487,2162,2272,50,3886
Sibu,29,17,2006,2007,2004,2004,113138730,187196094,832,2149,2138,2191,106,7950
Labuan Haji,7,7,2000,2000,2007,2007,58255586,85239392,1387,1352,1394,1363,16,1195
Kudat,9,9,2004,2004,2006,2007,51199242,69390676,835,1049,782,703,13,1020
Pulau Bruit,35,31,2005,2005,1997,1996,2180452264,3644080766,1460,2003,4398,4834,158,12176
Batu Kawan,1,1,2009,2009,0,0,0,0,0,0,0,0,0,3
Samu,5,5,2012,2012,2017,2017,87666221,149866532,497,823,1582,1679,10,767
Kuching,11,10,2000,2001,2003,2004,49086604,72921975,968,2059,2016,2070,15,1105
Bandar Tenggara,7,7,2003,2003,2001,2002,38635161,54323792,817,990,869,845,18,1334
Merbok,3,3,2004,2004,2009,2010,20843993,28982786,366,1190,1070,1134,7,556
Langkawi,20,15,2007,2007,2008,2008,541422344,899180747,1499,1896,2487,2533,76,5840
Kepong,6,6,2008,2008,1999,2002,317000710,41767890,623,1261,2011,1209,60,4616
Batu Gajah,6,6,2007,2007,2009,2009,70359330,99259089,785,1469,2075,2151,18,1373
Sarikei,2,2,2006,2006,2006,2005,6128590,7298228,780,780,735,723,2,161
Nilai,2,2,2012,2012,2014,2014,120546603,198817280,2481,2481,2955,2983,22,1669
Batang Kali,5,5,2007,2007,2006,2007,23570850,30509516,822,1082,770,758,7,554
Teronoh,1,1,1992,1992,1992,1992,4802561,6381694,200,200,200,200,1,75
Tubau,1,1,2007,2007,2007,2007,17538300,31356000,5850,5850,5850,5850,5,403
