int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,10926,1560,2006,2008,2010,2010,1039490754430,1152828722157,976,1974,2075,2029,105210,8141754
Offshore,419,209,2010,2010,2006,2004,4546265564,6175710224,486,2096,1339,1321,1562,117756
Bulk carrier,4965,2927,2009,2009,2009,2009,873855741443,1658526176198,2063,2804,3132,3169,48874,3784054
General cargo,2897,959,2005,2005,2008,2008,44335230373,61253462747,979,1659,1800,1795,7609,584368
Ferry-pax only,355,39,1998,2000,1994,1997,286202516,67641687,537,6923,448,502,441,33148
Liquefied gas tanker,978,265,2004,2006,2004,2004,116325661897,94203902147,1592,2222,2989,2932,15951,1023254
Chemical tanker,4488,1259,2008,2009,2009,2009,77493808952,124895223878,803,1357,1368,1375,16197,1246016
Service - tug,2571,561,2009,2009,2009,2009,1664723408,1487996765,207,1084,1071,1110,1576,118488
Oil tanker,5032,1653,2006,2007,2010,2010,714303191759,1348061245473,643,2465,2983,3032,52464,4057990
Vehicle,460,165,2003,2006,2007,2007,41893019828,14144316247,775,3001,2120,2175,2680,207456
Service - other,1707,135,2014,2007,2011,2011,3350407337,4022483713,83,1590,217,177,826,62470
Refrigerated bulk,31,23,1988,1986,1991,1990,405536768,439283327,1958,3418,3076,3073,364,27554
Other liquids tankers,11,4,2014,2013,2009,2009,48446494,54890459,41,434,1378,1348,18,1359
Cruise,276,51,2001,2001,2006,2006,12187604075,1205282042,288,582,504,517,2347,181738
Ro-Ro,150,33,2009,2009,2003,2004,258861214,266813384,92,1333,837,685,360,27161
Miscellaneous - fishing,30,10,1999,2000,2000,1996,31606780,23689081,1014,1425,857,998,38,2875
Ferry-RoPax,41,10,1995,1996,1991,1992,354893081,92202811,1427,1864,2946,2879,152,11442
