port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Kulhudhuffushi - Hulhule Island,23,6,1991,2001,2012,2011,34333276,56817480,294,419,1256,1173,36,2737
Hulhule Island - Male,20,12,2006,2000,2003,2004,84913717,114746221,421,1578,1477,1309,96,7190
Rangali - Male,9,7,2000,2000,1997,1997,4697383,4922316,96,136,113,109,6,433
Kulhudhuffushi - Baa Atoll,28,12,2001,2001,2002,2003,13698480,20920149,115,165,172,170,9,690
Hulhule Island - Halaveli,21,4,2006,2012,2006,2008,2615680,415959,162,94,138,122,27,2049
Rangali - Baa Atoll,3,3,1996,1996,1999,1999,1723719,2830873,321,269,309,334,2,168
Kulhudhuffushi - Male,17,4,1997,2002,2006,2008,16743798,25861307,288,420,292,291,12,882
Male - Baa Atoll,12,6,1999,1997,2000,2000,7666141,9353067,168,238,259,267,23,1748
Baa Atoll - Hulhule Island,32,8,1999,1999,2001,2001,13825161,19633577,152,161,181,188,45,3382
Halaveli - Baa Atoll,25,2,2003,2010,2005,2005,3175325,359760,126,91,131,126,32,2420
Hulhule Island - Rangali,12,6,1996,2002,1992,1988,5462741,8022813,127,1192,669,622,23,1752
Male - Halaveli,5,1,2002,2002,2002,2002,1386396,152223,238,238,468,468,14,1032
