int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Refrigerated bulk,7,3,1982,1989,1986,1984,38377374,43576149,2374,2462,2881,2884,63,4729
Bulk carrier,85,62,2006,2008,2009,2009,3093203103,5229285556,1812,1772,1704,1705,370,28557
Cruise,29,19,1998,1998,1999,1999,1259072016,154339731,1232,1129,1131,1096,292,22628
Liquefied gas tanker,185,54,2013,2011,2013,2013,8766216562,9979096247,916,3000,3134,3135,1445,111483
Service - other,14,3,2009,2013,2008,2009,803621,462654,413,163,140,71,5,360
General cargo,227,65,1994,2002,2003,2003,1094801630,1392931375,452,1494,1293,1252,279,21363
Service - tug,87,21,2007,2005,2000,2000,35486401,29215773,465,1244,1733,1727,60,4470
Chemical tanker,50,25,2010,2011,2010,2010,1156709356,1716112285,1866,1895,1916,1907,268,20683
Container,115,25,2004,2004,2004,2004,1986495718,2515069251,442,888,870,864,523,40095
Ferry-pax only,1,1,2018,2018,2018,2018,2263319,176506,1839,1839,1839,1839,0,15
Oil tanker,30,7,1994,1998,2005,2005,472933483,822004398,1873,1421,1985,1994,148,11277
Offshore,2,2,2014,2014,2015,2015,1010415,686007,1066,1066,1075,917,3,246
Ro-Ro,11,3,2010,2008,2004,2004,3594229,3916715,38,709,330,291,23,1719
