int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,29,19,1998,1998,1995,1993,1168844207,156377124,495,1027,1050,1110,260,20091
Bulk carrier,85,62,2006,2008,2011,2011,4997468413,8589640795,1717,2604,2753,2801,443,34252
Liquefied gas tanker,185,54,2013,2011,2012,2012,6129919924,6963435491,1341,2200,2192,2187,963,74276
Service - other,14,3,2009,2013,2016,2017,5795451,8481332,436,640,1012,1292,12,866
Refrigerated bulk,7,3,1982,1989,1986,1984,155039163,175918615,6860,9726,11638,11643,133,10067
General cargo,227,65,1994,2002,2005,2005,1250263645,1605320357,464,1651,1476,1443,312,23876
Service - tug,87,21,2007,2005,2001,2002,24452205,20242744,488,893,1194,1197,51,3848
Chemical tanker,50,25,2010,2011,2009,2009,979425301,1437794059,1815,1402,1623,1597,242,18621
Container,115,25,2004,2004,2004,2004,3005450889,3806264631,498,1665,1316,1308,576,44439
Ferry-pax only,1,1,2018,2018,2018,2018,2462619,192048,2001,2001,2001,2001,0,13
Oil tanker,30,7,1994,1998,2007,2007,766689755,1358231831,1868,3450,3219,3294,205,15623
Offshore,2,2,2014,2014,2015,2014,956173,650929,1009,1009,1017,870,4,265
Ro-Ro,11,3,2010,2008,2003,2003,7789350,8256131,58,1778,716,613,50,3749
