int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Marsaskala,2514,1745,2006,2006,2009,2009,164293170742,265916489732,910,1911,1994,2002,19081,1454267
Delimara,2515,1157,2005,2006,2009,2009,103704205475,136816856956,699,1435,1399,1406,12480,953841
Marsaxlokk,953,302,2006,2007,2010,2010,61855606179,66828952925,737,980,1108,1092,6370,490779
"Mgarr, Gozo",82,80,2004,2004,2007,2007,4826668716,8305658986,832,2030,2208,2294,520,40100
Saint Paul'S Bay (San Pawl Il-Bahar),370,341,2004,2005,2008,2009,15850539548,26425990031,912,1776,2042,2044,1941,149526
Valletta,953,352,2000,2000,2007,2006,20780102242,6923309262,576,1256,655,751,4338,333788
Kirkop,29,22,2001,2001,2006,2006,766386013,950204229,596,1064,1325,1291,120,9254
Marsamxett,98,87,2003,2002,2007,2006,3413412634,5518708921,656,1255,1421,1572,537,41247
Floriana,326,120,1999,1998,2006,2005,1026282593,656541889,252,847,568,492,496,37460
Birzebbugia,16,8,1998,1998,2004,2007,162544649,133351277,274,324,451,520,38,2956
Gzira,2,2,1974,1974,1980,1980,1149453,1028594,4380,4380,3421,3028,2,130
Balzan,2,2,1998,1998,2001,2000,7627397,10548840,948,948,954,953,51,3867
Tarxien,3,3,2000,2000,1998,1999,117173791,127620276,1122,1264,1104,1107,17,1322
Marsa,2,2,1985,1985,1987,1986,72811,91584,200,200,190,190,0,36
Sliema,1,1,1992,1992,1992,1992,701783,1091275,498,498,498,498,0,19
