int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,261,65,2001,2000,2007,2007,2652161777,259127719,131,196,150,151,690,53357
Oil tanker,37,14,2005,2009,2010,2011,604950689,1034805927,554,870,1105,1143,133,10254
Container,232,43,2007,2007,2008,2008,2825171820,3486096747,208,717,577,578,537,41472
Chemical tanker,146,15,2006,2007,2006,2006,427101371,683386553,290,801,439,438,193,14670
Refrigerated bulk,71,18,2000,1999,2005,2004,332797987,362222762,136,401,364,360,146,11152
Vehicle,46,19,2005,2006,2009,2009,806324073,231792985,114,179,419,384,55,4279
Offshore,17,5,2012,2002,1987,1978,5030794,6205349,153,1069,584,1154,11,825
Bulk carrier,6,6,2012,2012,2012,2012,70544842,105017763,530,761,774,818,10,740
General cargo,107,44,2004,2005,2007,2007,656067510,815893824,121,1168,834,755,163,12547
Service - tug,89,16,1978,1991,1988,1987,9136929,6493101,223,643,339,358,31,2364
Liquefied gas tanker,16,3,2010,2007,2010,2010,11308021,11467820,184,174,185,185,7,569
Service - other,5,3,2003,2008,2004,2005,28701919,11799407,479,730,598,622,9,689
Ro-Ro,58,3,1992,1998,1995,1994,48196468,35472112,116,126,121,120,18,1380
Ferry-pax only,11,3,2009,2005,2008,2008,1455873,130487,203,268,196,200,2,136
Ferry-RoPax,37,2,2006,2006,2003,2003,21220429,2114090,299,389,689,682,35,2595
