int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Miscellaneous - fishing,144,61,1989,1992,1988,1989,3498483818,1870893325,1477,9485,9438,7208,1074,81487
Chemical tanker,60,45,2008,2009,2009,2010,1607042153,2580177512,958,1458,1464,1456,270,20781
Bulk carrier,168,159,2009,2009,2010,2010,43087919729,82459786880,2346,3742,5087,5207,2664,206169
Liquefied gas tanker,19,5,2011,2011,2012,2012,99332983,118269923,481,1017,791,776,41,3159
General cargo,126,90,2001,2003,2007,2007,1012623128,1370711849,684,1050,1171,1187,227,17404
Service - tug,12,7,2008,2008,2008,2008,43135154,42160833,1098,2516,2314,2457,23,1714
Refrigerated bulk,120,59,1990,1991,1991,1991,1293032747,1466978873,1726,1804,1746,1736,1009,76362
Container,244,59,2005,2006,2007,2007,4856824574,5977650114,770,1292,1107,1107,866,66500
Ro-Ro,25,18,2001,2002,2003,2004,913245691,457819122,748,988,878,880,124,9580
Offshore,20,11,2011,2010,2014,2014,599055482,582885721,2954,4276,2837,2757,164,12353
Oil tanker,70,18,2008,2008,2006,2006,523229158,804121960,580,1330,815,816,341,25828
Service - other,13,8,2010,2012,2012,2011,47298310,39489533,1048,3951,1552,1351,36,2685
Vehicle,5,3,2011,2010,2010,2011,254673338,91339556,266,514,847,842,13,1027
