int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,555,513,2010,2010,2009,2009,114650962819,213763338008,3368,3795,4054,4075,7278,563683
Container,565,172,2005,2006,2007,2007,55786099908,63823217405,1564,2158,2058,2037,6475,501122
Miscellaneous - fishing,78,58,2002,2003,2005,2004,1173482061,944529425,5261,10734,10317,11404,703,52839
Chemical tanker,59,43,2009,2008,2008,2008,3976456771,6475475239,2916,3090,2854,2852,612,47326
Vehicle,33,28,2007,2007,2010,2010,4104949642,1285259302,1565,1887,2113,2050,224,17380
General cargo,69,38,2003,2006,2000,2001,3456642648,4270826686,1838,3433,3748,3666,447,34457
Offshore,19,18,2012,2012,2016,2016,1705259814,1350823586,3269,3714,5487,5401,299,20275
Oil tanker,132,98,2006,2006,2008,2008,51266612950,97801143015,3335,5277,5360,5416,3802,293830
Service - other,16,13,1996,1998,2002,2001,392954978,189893290,2892,6791,4327,3659,142,10760
Service - tug,23,20,2005,2004,2010,2010,208692552,170947418,3259,3642,3850,3999,104,7979
Refrigerated bulk,62,36,1993,1993,1994,1993,1220322778,1369058098,3443,6155,4390,4387,936,70913
Liquefied gas tanker,99,62,2010,2011,2010,2010,35437285488,29865044695,4045,4570,4756,4729,4104,255010
Cruise,42,19,1996,1997,1999,1997,1947637023,235655618,953,997,984,1019,504,39062
Ro-Ro,1,1,2013,2013,2013,2013,121497216,61839224,5132,5132,5132,5132,24,1859
