dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,740,288,2001,2011,2005,2005,10250575705,17538318542,339,594,594,593,1210,93504
Vehicle,283,113,2008,2007,2008,2008,4059029774,1230985864,247,261,269,270,315,24435
Offshore,15652,210,2004,2003,2007,2006,3376162574,3424077869,108,358,208,197,4592,344928
Cruise,576,50,1999,2001,2000,2000,19648763376,2006956705,262,494,452,459,4898,377651
Service - tug,2787,83,2007,2002,2007,2007,661179302,602606110,122,528,206,201,830,62448
Container,1571,297,2007,2007,2008,2008,34730328318,39077639355,246,377,381,380,4331,335116
General cargo,282,146,2007,2008,2009,2009,1676182674,2407204294,321,423,461,458,403,30685
Chemical tanker,2096,331,2010,2010,2010,2010,24552053639,40577969090,341,385,430,430,6322,489178
Oil tanker,503,119,1999,2006,2006,2006,4809993749,8325476379,262,385,354,354,2610,201347
Liquefied gas tanker,114,13,1989,2009,2012,2012,768046310,914855782,124,761,665,650,254,19332
Miscellaneous - fishing,148,28,1991,1989,1995,2000,957523359,1156036364,925,5878,4942,6109,653,49020
Service - other,1239,33,1990,1993,1999,2002,526027017,540386394,107,1093,661,888,332,25018
Ferry-pax only,42,8,1991,1993,1992,1987,49536389,10360387,634,1806,1023,717,72,5404
Refrigerated bulk,76,4,1978,1987,1985,1986,7426379,7983635,54,265,127,150,78,5865
Ferry-RoPax,123,5,1994,2008,1993,1993,755323504,163704581,255,959,273,275,353,26922
Ro-Ro,1326,9,1988,1991,1991,1990,2516904427,1440804559,225,656,212,225,868,66527
