int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Veracruz,1302,709,2007,2008,2008,2008,97326105089,95468675654,1107,2203,1928,1990,10408,803011
Altamira,1251,646,2008,2008,2010,2011,70163484100,88667649582,736,2386,2181,2266,8539,631136
Cabo San Lucas,119,33,2005,2002,2006,2006,9164454104,1002009189,823,985,852,897,2210,170730
Topolobampo,96,81,2011,2011,2012,2012,8401444915,13051448028,3445,3569,3614,3639,1002,77422
Coatzacoalcos,864,441,2008,2009,2009,2009,26250543960,42573149191,839,1319,1145,1142,5783,445296
Lazaro Cardenas,872,506,2009,2009,2010,2010,130894295609,134961368668,1898,3326,2946,2724,11562,894496
Progreso,384,144,2005,2008,2007,2009,5777361767,7265195602,601,1022,911,1011,1173,89801
Manzanillo,1421,680,2008,2009,2009,2009,366213872965,415445899924,3185,4275,4295,4240,41048,3151893
Mazatlan,198,124,2003,2004,2009,2009,19558711221,11303933106,1416,4289,3537,2743,1753,134904
Tuxpan,616,340,2009,2009,2010,2010,22901385509,32144306039,666,1554,1425,1386,3208,246681
Ensenada,440,159,2003,2007,2009,2010,64073239742,67475570949,310,3972,2260,4277,8315,642702
El Sauzal,38,14,1998,2001,2008,2010,5103045432,4505835083,296,3505,1960,4406,632,42485
Boca Del Rio,64,61,2008,2008,2007,2008,3343218941,3124154299,896,1623,1647,1479,290,22340
Guaymas,110,105,2010,2010,2011,2011,9886357361,16801579520,2567,3574,3645,3709,1119,86316
Cayo Arcas Terminal,41,34,2006,2007,2010,2010,3149307125,5907816200,683,1202,1323,1341,402,30922
Cozumel,1167,90,2005,2004,2006,2006,91468076661,8667615967,568,722,703,714,17252,1327463
Cantarell,22,22,2006,2006,2011,2011,8258613577,15765292291,847,2866,5252,5414,494,38224
Playa Del Carmen,23,14,1991,1995,1989,1988,427045292,684026539,758,1444,791,785,44,3336
Dos Bocas,422,253,2008,2008,2010,2010,32477278770,60941919786,747,1207,1537,1555,2410,185001
Tampico,355,207,2002,2004,2009,2009,6252576514,8631542844,889,1926,2135,2122,1303,99527
Ciudad Del Carmen,115,112,1999,1998,2012,2009,382204640,236364010,97,578,1064,770,524,39784
Yuum Kaknaab,174,141,2008,2008,2010,2010,41548107762,80305918728,852,2205,3393,3476,2899,223801
Puerto Vallarta,49,20,2002,2001,2004,2003,5477665221,469607581,1119,1266,1166,1161,1164,89869
Puerto Madero,76,16,2002,2003,2007,2007,2423748985,3100567751,1990,2297,1319,1685,496,38259
Ciudad Madero,86,59,2007,2007,2007,2007,2201976171,3718392382,625,830,835,845,510,39163
Salina Cruz,87,64,2007,2007,2008,2007,7148530677,12070984825,1938,2842,2413,2391,1083,83596
