int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,1030,446,2006,2008,2008,2008,22427301205,31450630180,898,1878,1806,1770,3707,283934
Bulk carrier,1747,1012,2009,2011,2009,2009,107904569466,188495746685,1027,2042,1978,2031,8996,692808
Chemical tanker,1633,519,2009,2010,2010,2010,49843732109,82852551224,785,1463,1376,1376,8316,636987
Container,2248,410,2007,2007,2009,2008,321416796957,359166980633,1224,2071,2414,2378,34392,2660278
Offshore,330,235,2003,2003,1999,1999,1029574440,924234573,207,825,855,868,719,53871
Liquefied gas tanker,410,108,2012,2011,2013,2013,30572866131,28108017734,723,2263,2044,1904,3795,259563
Miscellaneous - fishing,61,43,1988,1990,1994,1998,488945463,564325554,1458,5999,5988,7156,368,27742
Cruise,1634,120,2003,2003,2006,2005,108105863367,10202153604,554,682,641,642,21674,1664660
Vehicle,730,312,2008,2008,2008,2008,86926906492,28130697035,1606,2120,2080,2087,5114,394779
Oil tanker,961,416,2008,2008,2010,2010,165896969819,313888705113,913,3111,3080,3171,14868,1142885
Ferry-RoPax,10,8,2005,2007,1994,1994,229008051,56243185,2242,5203,3641,4832,126,9478
Service - tug,163,115,1996,1999,2002,2003,97068050,78095358,561,1042,791,735,204,15319
Service - other,67,55,1997,1996,2001,2002,534104736,483004192,919,1738,1543,1683,241,18196
Ro-Ro,50,16,1993,2000,1988,1986,1409791115,1178078243,827,521,1412,1557,208,15738
Ferry-pax only,12,10,1989,1988,1992,1988,50773017,13564529,1605,7689,3021,2554,49,3691
Refrigerated bulk,19,18,1993,1993,1995,1994,454141359,500951461,2678,3712,3356,3418,272,20659
