int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,45,38,1995,1994,2003,2003,186038936,257598563,712,833,900,888,48,3639
Bulk carrier,89,11,1972,2000,2012,2013,545219379,952223801,170,1563,1517,1612,60,4602
Service - other,8,6,2008,2008,2014,2014,59654648,31681352,1415,1884,2675,2443,23,1746
Cruise,124,31,2002,2004,2004,2004,2604115157,270803790,229,254,324,332,551,42674
Ferry-RoPax,41,3,1979,1985,1981,1981,66076154,10525736,118,289,158,176,27,2068
Chemical tanker,5,5,2014,2014,2014,2014,44274536,69449695,985,989,920,940,10,747
Container,14,7,1998,2000,1995,1995,90151616,117394091,404,447,419,416,17,1294
Vehicle,6,4,2002,2001,2002,2002,253226486,84924143,927,1027,973,976,12,967
Refrigerated bulk,2,2,1993,1993,1993,1993,11856089,11825379,766,766,766,766,5,392
Offshore,5,3,2003,2001,2008,2008,7996146,6866105,15,204,256,249,6,469
Ferry-pax only,8,2,2011,1990,2004,2001,366477,64201,81,125,92,96,1,99
Miscellaneous - fishing,16,2,2007,2006,2007,2007,501590,371732,64,44,88,88,6,475
Oil tanker,1,1,1989,1989,1989,1989,1149300,1814891,563,563,563,563,1,58
Service - tug,1,1,1982,1982,1982,1982,1042121,1037182,2469,2469,2469,2469,2,128
