dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,155,120,2006,2009,2009,2009,1016974742,1712201743,257,268,279,280,168,12979
Container,683,136,2003,2005,2004,2004,3232303010,4075930777,260,264,281,282,758,58179
Vehicle,81,19,2006,2005,2006,2006,579785800,177700789,209,237,233,234,61,4686
Miscellaneous - fishing,223,25,1992,1990,1989,1989,552279486,333131008,605,1957,2650,2566,246,18466
General cargo,327,155,2000,2002,2001,2001,389183278,545980437,268,255,269,262,142,10784
Chemical tanker,383,96,2009,2008,2010,2010,1101229686,1736734367,276,421,388,394,548,41665
Refrigerated bulk,2,2,1999,1999,1991,1991,1825444,2084665,236,236,297,312,3,214
Service - other,44,15,1998,1996,2001,2000,108805660,86155784,803,1519,1323,990,82,6136
Cruise,17,11,1988,1993,1996,1993,89812031,11305712,259,221,217,219,28,2134
Service - tug,51,9,1983,1990,1984,1984,21688522,16504456,487,1708,1481,975,79,5950
Liquefied gas tanker,46,29,2008,2009,2011,2011,404092115,455024505,316,448,416,406,96,7367
Ferry-RoPax,2,1,1996,1996,1996,1996,54396106,4343635,614,614,614,614,17,1278
Oil tanker,91,15,2000,2007,2008,2008,372106823,606252359,231,503,410,429,160,12198
Offshore,3,3,1989,1989,2010,2010,15026816,11658471,1311,3573,6427,6231,11,841
Ro-Ro,6,2,2001,2006,2005,2004,43849290,22743347,216,246,248,244,6,461
