int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Jorf Lasfar,1063,829,2008,2008,2011,2011,47502463750,79861497630,1346,1884,2286,2331,6023,463561
Tanger Med,2888,731,2005,2007,2011,2012,271531192517,280135745852,794,1757,1970,2083,27010,2087582
Casablanca,2398,1088,2005,2006,2008,2008,56615815203,65215364003,691,1402,1226,1355,8060,620083
Larache,31,26,2001,2002,2007,2008,883700947,1356650026,428,1255,1765,1715,108,8357
Safi,343,244,2005,2006,2009,2009,5458782024,8615111464,800,1344,1560,1574,1020,78120
Mohammedia,403,199,2007,2008,2011,2011,8884963657,12523116710,567,1416,1701,1771,1772,136027
Tangier,85,63,2000,2001,2006,2008,2296776529,1827322434,557,1483,1145,1343,476,36369
El Jadida,19,19,2007,2007,2010,2010,626686996,992133896,1398,2167,2014,2070,99,7606
Agadir,660,315,2003,2003,2006,2007,9086936171,10733520757,520,1433,862,1210,2181,167057
Ras El Ma,3,3,2010,2010,2004,2003,32016507,59419442,346,441,339,341,5,399
Dakhla,154,85,1997,1994,1994,1998,1496257518,1107095418,484,1851,2032,1393,489,36921
Laayoune,161,80,1997,2006,2009,2009,893941383,1453882837,396,709,591,585,203,15530
Al Hoceima,142,62,2002,2004,2008,2009,1592954824,2507322684,115,781,557,825,217,16635
Asilah,81,73,2005,2005,2011,2012,7378957956,9729826208,1478,1702,2222,2429,683,52794
Roches Noires,26,26,2005,2005,2007,2008,868254581,1183148815,1211,1421,1522,1655,105,8106
Nador,1,1,2007,2007,2007,2007,3374596,5444313,878,878,878,878,2,187
Kenitra,6,5,1987,1989,1982,1982,1340513,2344955,94,223,284,322,13,1007
Tan Tan,12,10,2004,2003,2008,2008,30219081,41694006,673,760,735,732,29,2198
Rabat,2,2,1994,1994,1996,1996,1730832,2028887,586,586,400,385,2,127
Anza,12,12,2000,2000,1998,1999,84236566,106426384,612,928,911,887,25,1903
Tetouan,4,4,2008,2008,2015,2015,84860468,90172122,1309,2028,3017,2777,15,1137
Tarfaya,6,6,2000,2000,2010,2010,174208960,327450994,516,674,1429,1527,18,1383
Sidi Ifni,1,1,1992,1992,1992,1992,5491945,3332254,697,697,697,697,1,85
Essaouira,5,5,2003,2003,1993,1993,444769818,578224059,2225,4042,6471,6123,48,3701
Saidia,2,2,2005,2005,2011,2011,14069766,19444223,1071,1071,1253,1199,3,238
