int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Jorf Lasfar,1076,826,2008,2008,2011,2011,38212888658,63731838908,953,1634,1833,1864,4913,378419
Tanger Med,3085,714,2005,2007,2011,2011,255853084831,251389994627,676,1634,1792,1813,25656,1982196
Larache,26,23,2002,2003,2007,2008,294574653,469951153,428,611,617,619,60,4612
Casablanca,2100,1050,2005,2006,2008,2008,54591904624,61431848391,609,1197,1277,1351,6817,525278
Kenitra,8,7,1994,1996,2007,2007,65799455,112381971,1092,1084,1419,1418,15,1180
Mohammedia,396,193,2007,2007,2011,2011,5818945521,7793872470,470,902,1169,1153,1092,83747
Rabat,3,3,2000,2000,1998,1997,7111377,8380895,1589,1606,1593,1591,5,350
Agadir,653,310,2004,2003,2003,2003,9380532749,10576503173,721,1250,895,1217,2227,170592
Tangier,90,65,2000,2001,2009,2010,3043822578,3987409823,405,1109,1419,2599,368,28325
Safi,439,299,2005,2006,2009,2009,6578936501,10312910805,1209,1496,1630,1649,1322,101419
Asilah,52,49,2004,2004,2007,2009,1130896021,1653749008,217,686,745,774,184,14125
El Jadida,20,20,2007,2007,2009,2009,478518044,717554270,916,1522,1407,1365,70,5377
Laayoune,236,96,1995,2004,2013,2013,8768746612,15223363502,694,3391,4812,5205,975,74989
Dakhla,119,76,1993,1992,1989,1991,1762441346,1315667982,1418,6833,3699,2489,787,59321
Al Hoceima,132,63,2003,2005,2009,2010,2564686940,4150038948,151,992,882,1337,301,22985
Roches Noires,20,20,2005,2005,2004,2005,299278534,325472392,405,788,919,776,92,6952
Nador,1,1,2007,2007,2007,2007,5558913,8968322,1447,1447,1447,1447,4,303
Bir-Jdid,1,1,1981,1981,1981,1981,11883461,16197003,840,840,840,840,2,189
Tan Tan,14,12,2005,2004,2002,2002,51735058,75771983,710,1150,1013,1034,24,1816
Tetouan,4,4,2002,2002,2015,2015,34346653,33163311,1680,1934,1537,1342,14,1026
Sidi Ifni,3,3,1983,1983,1990,1988,3325348,2420009,513,611,372,392,2,176
Anza,16,16,2001,2001,1999,2002,100651690,103925852,928,1059,1110,902,36,2743
Skhirat,3,3,2003,2003,2004,2005,29978156,15432806,433,719,815,551,5,418
Tarfaya,5,5,2009,2009,2010,2010,347227091,651992420,916,1623,3028,3248,25,1942
Essaouira,2,2,2002,2002,2010,2011,5053431,6223397,617,617,675,677,2,143
Saidia,2,2,2005,2005,2009,2009,3751792,5271810,304,304,334,325,1,80
Ras El Ma,2,2,2009,2009,2006,2005,24830858,42582064,501,501,267,245,5,397
