int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,1306,650,2002,2004,2005,2006,6862442926,9976194851,552,981,1000,1014,1675,127873
Container,2923,553,2006,2007,2011,2011,235416361951,258200562110,766,1533,1802,1735,25119,1939995
Miscellaneous - fishing,81,47,1987,1988,1987,1987,1577143072,1010690085,3126,9341,7767,7994,611,46004
Vehicle,508,132,2004,2007,2007,2007,35822646342,11859547253,1055,2053,1658,1661,2322,179580
Chemical tanker,921,413,2007,2008,2010,2010,13412330628,21813178137,708,1349,1383,1414,3181,244298
Bulk carrier,1055,847,2009,2010,2011,2011,58487216961,100402470894,1259,2002,2088,2108,5680,438366
Liquefied gas tanker,307,105,2009,2010,2012,2012,7730104497,8818367316,784,1350,1466,1464,1291,98980
Refrigerated bulk,96,47,2000,1995,2000,2000,1502317411,1646020311,1302,1752,1814,1805,771,58707
Ro-Ro,489,36,2001,2004,2011,2010,13507744785,6473932339,142,1411,1273,1114,1383,106999
Ferry-RoPax,326,22,1996,1994,1996,1996,4895096744,886858638,539,558,529,511,1042,80215
Service - other,52,34,1999,1999,2005,2005,291003036,355725657,842,2854,2148,2492,151,11382
Cruise,154,55,1996,1996,2002,2001,3036951571,324059736,249,327,359,364,663,51320
Service - tug,45,34,1996,1996,2005,2004,26881292,19252740,757,1780,1378,1303,96,7172
Oil tanker,233,103,2007,2008,2010,2011,6845308658,12320483624,354,1214,1452,1517,958,73557
Offshore,12,10,1997,1998,2004,2005,56961019,55543604,2376,4198,1596,1634,62,4650
