int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Nacala Porto,244,198,2007,2009,2010,2010,28034008957,51472489509,2915,2823,2887,3007,2099,162528
Maputo,852,591,2007,2008,2010,2011,49689093918,75336949268,1166,2138,1839,2115,5181,400363
Beira,358,278,2006,2007,2008,2008,21438920049,33616484904,1537,2870,2512,2560,3129,241166
Porto De Angoche,29,29,2009,2009,2011,2011,1215613955,2097489624,977,1585,1778,1798,126,9708
Porto Amelia,24,18,1998,1999,2007,2008,387823104,639221836,1242,1766,1839,1923,85,6547
Mocimboa Da Praia,10,4,2000,1997,2001,1998,2973168,3826195,542,937,657,701,8,594
Quelimane,30,11,2009,2012,2014,2015,536481613,902285474,620,2139,2079,2207,62,4760
Inhambane,2,2,1984,1984,2009,2009,1826903032,3478917913,9857,9857,18754,19194,88,6853
Ibo,3,3,1979,1979,1984,1987,3694914,1784850,247,1133,438,887,3,212
Pebane,2,2,1994,1994,1990,1991,25044719,18288955,18644,18644,11563,7447,27,2018
Porto Belo,1,1,2017,2017,2017,2017,29409891,49625758,964,964,964,964,7,522
Mocambique,1,1,1989,1989,1989,1989,2019076,362954,387,387,387,387,1,49
