int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,142,103,2009,2009,2010,2010,7357068989,12053849347,1009,2126,2203,2231,1164,89985
General cargo,148,93,2006,2008,2011,2011,4449861681,6623639285,753,2257,2121,2181,630,48310
Bulk carrier,672,588,2011,2011,2011,2011,70966189772,128072700667,3217,2671,2847,2870,5470,423565
Container,269,55,2000,2002,2001,2001,6004747897,7581555824,794,994,969,962,1113,85987
Service - tug,13,9,2006,2006,2000,1995,8229898,9225728,825,1097,996,1113,17,1302
Oil tanker,75,55,2005,2007,2007,2007,5017325307,8363087618,2418,2586,2351,2339,773,59868
Miscellaneous - fishing,33,21,1982,1987,1992,1993,98104396,64768445,1378,6476,5954,6760,143,10743
Vehicle,55,44,2008,2008,2011,2010,5235004185,1701181704,593,1590,1621,1638,310,24013
Service - other,14,11,2001,2001,1998,2001,67877916,62535756,993,2973,2449,2161,37,2807
Offshore,7,5,1996,1994,2000,1999,28009448,28340014,1573,4819,4166,4267,35,2659
Liquefied gas tanker,36,12,2011,2011,2012,2012,1174782100,1355629507,1217,1633,1280,1279,250,19210
Refrigerated bulk,28,21,1993,1993,1995,1995,1130992255,1192025462,2176,4805,5436,5312,502,38154
Cruise,45,11,1998,1994,2002,2001,1244362824,137038969,323,651,488,498,325,25163
Ro-Ro,18,4,2012,2012,2012,2012,409354792,371979451,357,426,448,446,44,3440
Other liquids tankers,1,1,1958,1958,1958,1958,74935,169461,74,74,74,74,1,116
