int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Nacala Porto,299,231,2007,2008,2010,2010,36572352770,66007806873,1695,3035,3314,3495,3062,236947
Maputo,710,534,2007,2009,2011,2011,56668139136,89351856877,1395,2721,2350,2813,5366,415022
Beira,418,284,2005,2007,2008,2009,21594547893,33120794321,1429,2358,2247,2289,2959,228013
Porto De Angoche,36,35,2009,2010,2011,2011,1978185895,3269607032,2812,2634,2518,2472,236,18233
Porto Amelia,50,25,2002,2000,2008,2009,820825931,1338966599,562,2519,1686,1754,169,12900
Mocimboa Da Praia,9,4,2001,1997,2001,1998,2385815,3214639,485,792,551,612,8,582
Inhambane,2,2,1997,1997,2009,2009,1648260663,3139865542,9882,9882,17335,17358,88,6832
Quelimane,19,15,2011,2011,2012,2012,1019622624,1673753894,1322,2714,3685,3724,109,8442
Mocambique,4,4,1987,1987,2002,1995,18592797,3841374,357,1346,388,654,7,553
Ibo,5,5,2003,2003,2009,2012,27664190,34511296,411,2118,536,469,9,698
Pebane,1,1,1999,1999,1999,1999,5204284,6867722,3451,3451,3451,3451,3,231
Chinde,1,1,2012,2012,2012,2012,145704107,209321742,6202,6202,6202,6202,15,1159
Porto Belo,2,2,2014,2014,2016,2016,30380330,49753080,881,881,845,843,8,639
