int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,8298,911,2007,2008,2013,2013,607371573937,632957638083,307,1322,1683,1611,63344,4864934
Chemical tanker,8626,1567,2006,2009,2010,2010,132206469858,213524655629,388,1537,1382,1423,28713,2186180
Bulk carrier,2288,1406,2008,2010,2011,2011,287050793157,533073014897,1482,2871,3198,3271,21348,1640108
Oil tanker,2204,820,2008,2009,2010,2010,243135290783,448975924755,834,2400,2104,2151,26196,2001848
General cargo,9991,1919,2002,2003,2004,2004,54299537749,75908780642,434,1083,1223,1224,11737,891316
Cruise,346,94,1996,1995,2007,2005,7577476770,772973944,230,329,336,340,2447,184270
Offshore,862,320,2004,2003,2005,2003,4165588635,3754061853,457,1142,960,1034,2280,171631
Service - tug,1455,304,2002,2002,2006,2005,462469938,373078677,162,474,542,604,743,55850
Liquefied gas tanker,2007,280,2007,2009,2012,2012,42943333820,38859578611,420,1626,1851,1703,6997,482797
Miscellaneous - fishing,1452,330,1990,1988,1996,1996,2455671257,2071242166,505,1011,2062,2365,1670,125776
Ferry-pax only,45,14,1952,1959,1991,1991,58156922,14904282,232,804,1873,1189,49,3702
Refrigerated bulk,548,142,1996,1995,1997,1996,8847310855,9278172276,617,1916,1874,1850,3988,302917
Service - other,1023,287,2000,1998,2008,2009,4997008026,6889008754,260,985,1015,962,1630,122747
Ro-Ro,4096,110,2003,2003,2007,2006,27608709552,12917783264,159,721,285,292,5060,382384
Vehicle,505,215,2005,2007,2007,2007,16709302951,5625392596,289,706,741,750,1311,100084
Other liquids tankers,36,9,2001,2003,2006,2006,3275531744,4012377805,5452,4739,4871,4807,579,44717
Ferry-RoPax,1272,21,2001,1999,2005,2006,18396340542,3347609676,195,588,328,322,2917,218991
Yacht,3,2,1942,1934,1937,1942,334101,477095,364,426,408,394,0,0
