int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Noumea,527,185,2005,2007,2004,2009,29769308480,19503385710,1068,2532,1288,1903,5495,424856
Baie De Prony,134,59,2008,2010,2010,2011,5813875981,9323076821,1090,2442,2268,2501,813,62721
Nepoui,21,13,2012,2013,2013,2013,2363888133,4075772010,4082,4204,4143,4142,205,15869
Kone,56,35,2013,2013,2014,2014,3560574210,5999331311,1075,2053,2199,2241,349,27000
Prony,8,6,2014,2014,2014,2014,1085164933,1917765667,4149,4163,4138,4138,98,7567
Nakety,22,14,2014,2013,2014,2014,3334396457,5788890110,4154,5217,4747,4732,273,21113
Baie De Kouaoua,9,9,2012,2012,2012,2012,1027372485,1802248915,4001,3865,3840,3836,84,6488
Baie Ugue,16,12,2013,2012,2013,2012,1915068888,3234871138,4090,4442,4480,4466,156,12060
Thio,2,1,2009,2009,2009,2009,140267232,234072332,4116,4116,4116,4116,13,1015
Mont-Dore,1,1,2015,2015,2015,2015,150988107,265139305,4156,4156,4156,4156,11,853
