port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Tauranga - Marsden Point,144,80,2010,2011,2012,2012,598516483,941836396,175,179,179,179,151,11614
Marsden Point - Timaru,15,11,2009,2011,2012,2012,265714651,427898003,808,816,807,807,34,2615
Timaru - Bluff,75,59,2007,2009,2007,2009,367853891,520727765,252,612,315,281,96,7326
Bluff - Dunedin,33,18,2006,2006,2010,2013,183739936,216745467,204,897,300,223,58,4444
Dunedin - Tauranga,8,8,2015,2015,2015,2015,149160925,240326722,778,779,778,777,16,1260
Nelson - Burnham Wharf,138,49,2007,2007,2008,2008,555913753,636265464,141,170,146,148,102,7831
Tauranga - Seaview,452,198,2008,2009,2007,2009,5473266650,5629652285,301,326,305,306,952,73622
Seaview - Wellington,9,9,2011,2011,2009,2012,90459400,113373736,250,286,273,296,16,1258
Wellington - Lyttelton,24,20,2010,2010,2010,2010,145529278,222109092,181,258,202,203,34,2605
Lyttelton - New Plymouth,61,32,2011,2010,2012,2013,268522766,409872168,350,381,405,404,66,5064
Nelson - New Plymouth,47,22,2009,2012,2012,2013,206903265,292383438,328,483,341,337,62,4721
Gisborne - Wellington,1,1,2005,2005,2005,2005,5493826,9045405,276,276,276,276,1,57
Wellington - Tauranga,27,23,2010,2010,2009,2009,423889237,615557762,498,508,501,505,74,5681
Picton - Tauranga,7,7,2011,2011,2014,2010,165864355,95188285,542,545,540,548,21,1593
Auckland - Timaru,35,25,2008,2007,2009,2009,601553295,833653826,788,852,810,804,110,8473
Timaru - Seaview,70,29,1999,2006,2005,2005,492465191,645336193,460,485,462,460,109,8376
Tauranga - Nelson,108,49,2007,2008,2008,2008,1329270620,1767400202,584,636,603,605,252,19453
Wellington - Timaru,8,8,2010,2010,2010,2010,61858639,99357319,282,282,283,283,15,1119
Burnham Wharf - Marsden Point,20,14,2015,2014,2015,2015,330157652,541099197,593,619,622,623,41,3204
Burnham Wharf - Seaview,115,59,2009,2009,2009,2010,1015645293,1193046606,226,252,231,233,149,11537
Gisborne - Tauranga,85,63,2011,2011,2009,2012,581540126,702606776,234,244,242,252,103,7905
Auckland - Lyttelton,284,71,2007,2006,2008,2008,6073432169,5999009584,684,715,696,693,868,66983
Lyttelton - Gisborne,7,6,2001,2001,1991,1996,84226710,89180442,405,1159,930,727,45,3472
Gisborne - Seaview,22,19,2004,2005,2005,2007,46949526,60468759,109,119,120,122,16,1227
Auckland - Tauranga,446,134,2006,2006,2006,2007,2262243146,1629096761,149,164,158,157,527,40581
Tauranga - Lyttelton,124,71,2007,2008,2006,2007,2214113305,2914461970,601,614,607,609,380,29279
Lyttelton - Nelson,183,51,2006,2005,2006,2007,1158764736,1173589175,277,789,301,293,245,18779
New Plymouth - Dunedin,27,10,2011,2010,2011,2011,141418009,206792190,510,563,567,576,38,2942
New Plymouth - Tauranga,24,23,2012,2012,2013,2013,300151941,481316573,613,621,626,626,45,3503
Seaview - Marsden Point,30,21,2014,2012,2014,2014,325667143,520105130,414,426,424,423,50,3889
Bluff - Gisborne,9,9,2011,2011,2012,2012,140446961,230818585,693,710,706,707,12,956
Tauranga - Bluff,32,27,2010,2012,2011,2011,658600324,1026997873,902,906,903,904,75,5819
Bluff - Shelly Bay,5,5,2012,2012,2012,2012,51087712,81473342,472,491,492,492,6,440
Shelly Bay - Seaview,82,48,2007,2008,2006,2010,1017540193,356762246,225,232,226,234,227,17541
Burnham Wharf - Dunedin,9,8,2012,2012,2012,2012,54777381,70915875,349,421,401,364,13,1011
Dunedin - Milford Sound,1,1,2010,2010,2010,2010,4267687,561928,390,390,390,390,2,186
Milford Sound - Burnham Wharf,1,1,2010,2010,2010,2010,26810189,3530106,2450,2450,2450,2450,16,1201
Port Chalmers - Tauranga,35,32,2011,2011,2010,2010,964062304,1120622743,764,769,766,768,104,8041
Seaview - Lyttelton,157,77,2009,2009,2009,2009,2029854784,2585049158,348,353,351,351,312,24152
Lyttelton - Ravensbourne,13,11,2014,2014,2014,2013,62767134,102592198,218,219,219,219,7,562
Ravensbourne - Burnham Wharf,2,2,2012,2012,2011,2011,21140231,35780192,385,385,382,380,2,184
Burnham Wharf - Tauranga,99,46,2009,2010,2009,2010,1126077763,1493705986,478,495,487,488,190,14659
Timaru - Tauranga,87,49,2009,2010,2009,2009,1087336511,1515293909,690,718,697,698,216,16596
Bluff - Port Chalmers,53,22,2007,2009,2007,2008,289714106,357032842,160,170,164,165,52,3996
Port Chalmers - Lyttelton,138,45,2006,2006,2006,2005,1234765821,1448280922,205,207,208,208,193,14920
Bluff - Seaview,24,22,2013,2013,2013,2013,354854503,564997827,645,652,654,655,42,3227
Bluff - New Plymouth,15,14,2013,2013,2013,2013,216321181,346280116,667,759,784,787,27,2086
New Plymouth - Auckland,13,12,2009,2010,2010,2010,165010919,272868258,539,543,546,546,21,1633
Dunedin - Lyttelton,94,24,2003,2005,1997,2004,425074556,327012231,212,463,549,328,124,9417
Lyttelton - Timaru,88,45,2003,2007,2001,2005,273216085,300196671,136,862,233,179,102,7737
Timaru - Ravensbourne,5,5,2004,2004,2010,2011,10895638,17163711,125,195,129,127,2,148
Ravensbourne - New Plymouth,2,2,2012,2012,2010,2010,14910361,22478568,542,542,559,561,3,199
New Plymouth - Burnham Wharf,24,15,2012,2012,2012,2012,107506711,170415472,238,343,341,353,23,1738
Nelson - Seaview,50,33,2008,2009,2011,2011,386509431,553394110,343,381,347,345,60,4601
Auckland - Port Chalmers,41,18,2008,2008,2008,2008,1451307574,1807078241,852,860,856,856,163,12660
Port Chalmers - Seaview,43,15,2007,2006,2007,2007,872526684,1048408664,506,507,510,510,113,8784
Auckland - Seaview,50,27,2002,2004,2003,2006,671051277,672708506,391,466,458,430,120,9250
Lyttelton - Burnham Wharf,111,60,2007,2006,2005,2005,1006857795,1095218524,179,292,232,261,140,10788
Bluff - Nelson,11,11,2011,2011,2012,2013,166298369,250541661,583,1921,632,610,30,2286
Nelson - Picton,62,29,1999,2010,2006,2011,108039812,124716305,438,369,178,137,62,4657
New Plymouth - Seaview,19,18,2013,2013,2014,2014,142918929,225888937,422,426,422,424,26,2001
Nelson - Wellington,7,6,2004,2006,2008,2008,25470396,40449951,159,362,164,159,8,629
Lyttelton - Shelly Bay,79,34,2001,2004,2001,2000,630088770,372257588,178,427,261,365,93,7093
Auckland - Shelly Bay,32,28,2007,2006,2006,2008,859492749,370399946,582,603,609,597,81,6275
Port Chalmers - Akaroa,68,19,2003,2002,2005,2003,1055684121,112049200,164,650,171,185,239,18532
Akaroa - Picton,17,9,2003,2001,2004,2004,286892366,32684114,231,231,229,229,81,6293
Picton - Shelly Bay,126,15,2001,2004,1998,1997,2296225240,630896078,163,262,555,706,651,49924
Auckland - Gisborne,18,16,2005,2007,2006,2008,153974122,174735887,396,476,391,404,24,1817
Gisborne - Burnham Wharf,3,3,2010,2010,2008,2011,33944014,20837437,275,276,274,277,8,583
Shelly Bay - Tauranga,48,41,2009,2009,2010,2010,1257314397,596429433,482,495,490,493,181,14047
Bluff - Lyttelton,28,20,2011,2009,2012,2013,270425963,411993505,343,574,354,347,49,3801
Shelly Bay - Timaru,36,12,2000,2006,2006,2007,142454370,214630001,270,274,273,273,32,2436
New Plymouth - Shelly Bay,26,15,2008,2006,2009,2011,92943688,129312889,247,277,239,236,26,2002
Burnham Wharf - Picton,213,9,2002,2003,2000,2000,2305678532,773700785,165,413,633,662,489,37329
Shelly Bay - Nelson,71,38,2003,2007,2006,2006,302810957,194558164,141,374,149,153,45,3453
Auckland - Dunedin,4,4,2015,2015,2016,2016,78963066,125507255,956,1074,950,936,10,759
Dunedin - Picton,1,1,2016,2016,2016,2016,8457732,13566941,393,393,393,393,1,69
Picton - Marsden Point,14,14,2010,2010,2011,2011,184597654,294208578,632,634,634,634,21,1643
Shelly Bay - Dunedin,5,2,2005,2007,2012,2012,27250104,44356085,345,346,348,348,5,358
Dunedin - Timaru,33,10,1995,1997,1994,1999,107704658,100198429,124,1962,353,211,55,4130
Timaru - Nelson,20,13,2003,2005,2004,2007,175871958,189073234,376,1156,624,446,40,3035
Chelsea - Tauranga,1,1,2013,2013,2013,2013,3756505,6092013,161,161,161,161,1,55
