int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - tug,9,9,2010,2010,2006,2005,3460708,3465675,385,573,842,967,10,755
Container,990,193,2007,2007,2006,2006,132614436239,161641676878,1796,3776,3723,3712,19480,1508282
General cargo,158,82,2008,2009,2011,2012,10565069791,15699899604,2865,3811,4058,4143,1356,104482
Bulk carrier,650,372,2012,2012,2012,2012,79419576436,128814795744,5409,5184,5233,5238,8030,621210
Chemical tanker,142,83,2011,2012,2012,2012,14153361028,23173972499,5146,4013,4514,4510,1911,145993
Oil tanker,108,77,2008,2008,2008,2008,24193992784,43666145978,4861,5001,4931,4960,2171,168097
Vehicle,205,110,2007,2008,2007,2007,43107874991,13946744923,5061,3716,3712,3443,2705,209550
Cruise,121,40,2001,2000,2004,2003,13615945993,1296948111,1301,1329,1333,1336,2898,224387
Refrigerated bulk,55,21,1997,1996,1996,1996,3714673853,4013806584,5016,7560,6603,6494,1482,113456
Offshore,8,8,2000,2000,1986,1983,398665029,370803164,3395,3252,4758,4959,93,7129
Ferry-pax only,2,2,1982,1982,1981,1981,73297416,26264512,5652,5652,5216,5213,57,4390
Service - other,21,16,2001,1999,1997,1997,590324507,530328488,2376,3295,4646,5006,196,14951
Miscellaneous - fishing,43,40,1992,1993,1994,1994,473861658,237649442,4568,6532,6399,6313,239,18006
Ferry-RoPax,8,6,2000,2000,1999,1999,397270080,121781997,701,2136,2408,2406,121,9257
Liquefied gas tanker,23,6,2010,2009,2010,2010,273577940,270543280,1601,1516,1209,1237,77,5919
Yacht,4,1,1968,1968,1968,1968,9074653,5061377,3126,3126,4668,4668,11,860
Ro-Ro,1,1,2014,2014,2014,2014,2393722,2218927,4855,4855,4855,4855,7,536
