int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,88,50,2009,2010,2008,2008,1458867180,2394473631,422,759,759,754,340,26261
Bulk carrier,82,74,2011,2011,2011,2011,2416156111,3837102538,325,1303,1182,1146,288,22213
Oil tanker,31,16,1999,2004,2005,2005,723753631,1239027707,570,1125,1170,1169,163,12581
Vehicle,65,56,2007,2007,2005,2005,2560306374,879069390,273,657,681,704,162,12509
Liquefied gas tanker,5,5,2009,2009,2010,2010,100738086,111359502,1577,1504,1378,1363,24,1850
General cargo,73,29,1998,2006,2004,2005,908011795,1340569013,215,1505,1611,1624,136,10469
Cruise,29,15,2001,2000,2001,2001,531010361,57561551,276,335,286,285,153,11835
Container,214,22,2007,2006,2008,2008,3026405908,3801477924,370,638,588,586,639,49295
Refrigerated bulk,1,1,1979,1979,1979,1979,2658956,2924339,1025,1025,1025,1025,2,150
Service - other,1,1,2010,2010,2010,2010,71887358,40524290,9107,9107,9107,9107,15,1095
Offshore,4,3,1987,1990,2007,2006,8097455,8897472,278,2594,2796,1946,11,789
Other liquids tankers,1,1,2018,2018,2018,2018,1637281,1763716,375,375,375,375,11,829
Ferry-RoPax,1,1,2007,2007,2007,2007,2159244,182424,185,185,185,185,1,54
Service - tug,4,4,2002,2002,2008,2008,1463843,1263350,510,453,609,661,5,396
Ro-Ro,1,1,1970,1970,0,0,0,0,0,0,0,0,46,3441
