port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Port Harcourt - Escravos,31,17,1993,1996,1999,2000,62762470,90270664,480,1014,418,388,43,3238
Escravos - Sea Eagle Terminal,60,27,1995,1998,2004,2003,76953185,114896826,332,500,567,516,40,3002
Lagos - Falomo,57,46,2003,2005,2001,2002,375819164,551975189,173,594,276,265,227,17431
Okwori - Port Harcourt,56,19,1994,2001,1994,1994,13441450,15243921,298,511,176,127,42,3160
Okwori - Antan,91,11,2007,2006,2009,2010,27687058,25808660,164,233,164,157,23,1729
Port Harcourt - Antan,70,25,2006,2004,2006,2006,76548837,107986435,213,370,657,795,39,2946
Lagos - Calabar,229,74,2003,2004,2002,2002,3026388246,4890172266,582,596,644,645,957,73653
Lagos - Okrika,59,28,2003,2003,2004,2004,1621050161,2587176992,601,1307,1511,1518,515,39688
Onne - Sea Eagle Terminal,63,21,2010,2010,2009,2009,91449571,103208160,453,880,1051,1032,91,6864
Onne - Escravos,118,56,2008,2006,2008,2007,105809593,112628232,459,930,757,772,174,13057
Onne - Lagos,256,122,2009,2008,2009,2009,3268884439,4141037882,538,806,594,594,879,67441
Lagos - Antan,96,37,2005,2004,2002,2002,435995983,638420272,536,612,561,561,234,17708
Antan - Onne,990,141,2011,2011,2012,2012,410478569,356439790,180,798,287,242,647,48576
Oyo - Escravos,292,49,2004,2002,1997,1996,322310339,439005020,206,349,279,254,311,23622
Escravos - Warri,374,87,1998,1999,1998,1998,463676303,697939049,71,502,81,78,538,41126
Onne - Oyo,60,26,2011,2012,2012,2012,104320969,108296214,416,902,853,876,85,6384
Falomo - Sea Eagle Terminal,4,3,1994,1993,1989,1987,747820,659712,280,541,292,240,2,144
Sea Eagle Terminal - Lagos,21,14,1995,1996,2009,2011,78739090,105838611,296,562,542,485,31,2329
Sea Eagle Terminal - Oyo,15,11,1998,1998,2003,2003,185464235,349465491,131,361,190,190,30,2289
Oyo - Lagos,75,18,1997,1993,2002,2002,57192235,62354124,162,854,407,361,88,6621
Falomo - Escravos,58,26,1996,1997,1996,1996,174311207,260913816,150,221,180,178,130,9951
Escravos - Ima,11,6,1996,1996,1998,1994,21460258,23581930,318,920,360,274,12,871
Ima - Brass Oil Terminal,3,3,2008,2008,2017,2017,40551464,73561210,102,273,641,647,6,483
Brass Oil Terminal - Sea Eagle Terminal,10,9,1985,1983,1990,1987,1271338,1396389,135,381,305,268,4,291
Lagos - Escravos,352,84,1999,2001,2000,2000,1532283005,2398583172,189,469,241,241,869,66495
Lagos - Bonny,123,57,2003,2004,2009,2009,1144551325,1575210914,516,668,650,656,519,39640
Antan - Yoho Terminal,1235,107,2010,2010,2010,2009,399592514,485022882,82,331,149,162,310,23296
Yoho Terminal - Onne,1423,117,2011,2011,2012,2011,342832869,328272764,93,813,139,120,574,43072
Onne - Ima,206,68,2008,2009,2008,2008,74892273,74758024,163,493,331,335,126,9441
Lagos - Port Harcourt,226,112,2003,2002,2003,2003,2611746585,4120564592,490,706,707,718,903,68897
Antan - Ima,191,50,2011,2009,2010,2011,157659756,232461840,86,455,207,213,74,5600
Onne - Erha Terminal,65,20,2013,2013,2010,2010,87936970,83798181,634,1479,715,634,74,5581
Erha Terminal - Yoho Terminal,30,10,2013,2013,2012,2013,38674932,46502155,416,943,473,457,28,2081
Yoho Terminal - Ima,60,36,2010,2009,2010,2009,21752337,23157354,174,330,203,192,23,1693
Antan - Okrika,26,16,2004,2003,2000,1994,7734631,7766681,400,711,258,181,21,1567
Okrika - Onne,61,33,2008,2008,2008,2005,44024657,54199665,523,1287,1886,2312,98,7380
Antan - Okono Terminal,18,15,2009,2009,2007,2007,54840634,97244165,131,134,158,158,11,815
Okono Terminal - Lagos,6,6,2002,2002,2004,2004,8446418,10299851,474,624,482,500,12,935
Forcados - Bonny,19,15,2001,1998,2006,2001,11950678,9983854,531,1495,652,439,37,2795
Lagos - Warri,70,34,1997,1997,2000,2000,394794555,626745716,221,333,265,265,198,15225
Antan - Calabar,62,38,2001,2001,2002,2003,62873813,92393975,79,257,88,84,112,8532
Okrika - Port Harcourt,45,28,2001,2002,2007,2004,16334858,11578044,611,978,350,188,78,5835
Port Harcourt - Onne,44,27,2006,2004,2007,2006,139065399,194291422,1184,1865,2634,2676,106,8002
Okwori - Onne,120,35,2007,2003,2008,2008,55397672,68830822,73,370,158,175,58,4346
Calabar - Falomo,28,13,2006,2003,2006,2006,275047320,418474663,579,561,572,569,53,4044
Okrika - Sapele,1,1,1994,1994,1994,1994,3150014,5182521,530,530,530,530,1,98
Sapele - Falomo,2,2,2000,2000,2003,2003,3948342,6423214,219,219,224,224,1,62
Escravos - Sapele,97,25,2001,2002,2001,2001,115557049,169636719,70,84,84,85,103,7825
Bonny - Escravos,16,13,1994,1993,2001,1998,19233648,18313917,495,1631,848,669,30,2269
Koko - Falomo,14,9,1995,1996,1996,1996,56297410,84294767,222,272,294,298,28,2126
Port Harcourt - Koko,11,6,2000,2004,1994,1994,23752595,31316080,556,655,548,548,13,961
Koko - Escravos,51,21,2001,2002,2002,2002,73162684,106273136,94,111,109,109,94,7097
Warri - Forcados,16,9,1988,1993,1986,1982,5194177,9690022,576,606,711,866,35,2660
Bonny - Onne,33,24,2007,2005,1994,1992,82123322,82838353,615,1557,2117,2001,66,4980
Onne - Okono Terminal,169,32,2009,2009,2005,2003,66959974,65174555,108,1022,221,220,88,6627
Sea Eagle Terminal - Erha Terminal,3,3,2000,2000,2008,2008,31659952,53532656,644,581,623,622,17,1306
Brass Oil Terminal - Okono Terminal,5,5,2005,2005,2009,2008,208181072,376489521,564,781,593,588,38,2961
Okono Terminal - Kirikakiri,3,3,2012,2012,2011,2010,55239551,87464201,380,477,433,416,54,4155
Kirikakiri - Sea Eagle Terminal,64,18,2006,2003,2010,2009,88119621,115439310,535,635,553,533,71,5337
Yoho Terminal - Bonny,41,20,2005,2003,2003,1995,5071503,4357079,243,405,224,206,16,1229
Koko - Lagos,180,40,2001,2001,2001,2001,995078388,1537595802,259,417,454,465,539,40922
Lagos - Okwori,17,16,1999,2000,2006,2007,68367105,102909228,388,454,641,666,39,2961
Okrika - Escravos,20,18,1995,1995,2004,2005,54664413,87789180,578,942,602,606,47,3585
Onne - Koko,5,4,2002,2001,2007,2007,19997271,26948135,678,982,831,798,13,1004
Koko - Warri,9,5,2000,1997,2001,2001,7107034,10211989,111,119,112,110,10,732
Erha Terminal - Warri,1,1,2009,2009,2009,2009,3498143,6011496,112,112,112,112,1,57
Okrika - Brass Oil Terminal,8,7,1989,1991,1989,1983,561167,858619,219,317,212,222,3,262
Sea Eagle Terminal - Okrika,18,14,2003,2002,2004,2002,7893801,5540713,546,1588,1229,868,38,2846
Okrika - Koko,2,2,1992,1992,1996,1979,727052,1153437,1629,1629,1627,1641,4,326
Koko - Yoho Terminal,2,2,1966,1966,1966,1968,375333,832873,790,790,715,823,1,106
Port Harcourt - Okono Terminal,4,3,1988,1994,1976,1971,330023,855459,216,374,508,726,2,154
Okono Terminal - Escravos,2,2,1990,1990,2010,2010,776899362,1454081361,4920,4920,9250,9238,63,4873
Oyo - Okrika,13,9,1989,1991,1983,1981,6850568,7689864,453,1064,1010,1100,8,585
Okrika - Forcados,11,9,1992,1995,1996,1996,5261087,7703527,545,539,578,597,7,490
Forcados - Port Harcourt,25,15,2001,2000,1998,1992,12006842,11866156,380,992,827,700,35,2625
Port Harcourt - Brass Oil Terminal,31,13,1994,1993,1986,1983,12635490,14885965,464,1011,864,998,35,2650
Escravos - Calabar,4,4,1989,1989,1991,1990,11124263,18054700,377,499,421,425,4,278
Calabar - Bonny,3,3,1990,1990,2009,2008,15381100,27177883,509,866,484,489,7,553
Bonny - Erha Terminal,4,3,1978,1980,1979,1976,880558,1454046,416,484,440,516,2,168
Okrika - Bonny,36,19,1998,1997,2005,2006,51680653,65641350,1034,1570,2294,2376,62,4697
Bonny - Okono Terminal,6,5,1999,1997,2002,2000,590118,272460,383,487,465,262,4,321
Brass Oil Terminal - Onne,13,10,2005,2004,2010,2010,14270163,21473010,313,367,304,309,10,751
