dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - tug,2054,135,2007,2004,2004,2003,866390449,794532290,155,555,304,312,808,60730
Chemical tanker,933,101,2003,2006,2003,2003,7776534746,12344857535,278,477,475,480,2856,219094
Service - other,637,41,2007,2003,1998,1991,284010911,234629017,680,1674,1391,1496,555,41709
Refrigerated bulk,49,22,1991,1991,1991,1991,97337711,108502788,302,343,316,314,112,8445
Offshore,4268,222,2008,2005,2009,2008,1864423541,1911784884,146,853,260,235,3634,272834
Miscellaneous - fishing,94,6,1999,2001,2000,2003,10732922,6325749,404,476,618,628,61,4553
Oil tanker,938,118,1997,2001,2003,2004,8603770504,14706431932,210,599,380,391,3569,273285
Container,126,50,2009,2009,2010,2010,2895253860,3567016658,538,503,536,537,607,47047
Liquefied gas tanker,108,15,2013,2011,2010,2010,692871777,748297742,362,566,516,511,218,16584
Bulk carrier,169,88,2006,2007,2007,2006,2222916994,3823621218,505,497,480,481,266,20582
General cargo,77,37,1998,2002,2005,2004,299007262,369106442,331,445,419,367,78,5991
Ferry-pax only,30,2,1997,1984,1997,1997,2447652,330739,362,229,375,364,12,937
Other liquids tankers,6,1,1978,1978,1978,1978,2732800,2827035,295,295,1571,1571,13,953
