int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Lagos,2197,1103,2006,2006,2009,2009,129482179516,195717107166,873,2751,2157,2535,19129,1475382
Erha Terminal,51,43,2009,2009,2010,2010,12806197130,24427621085,2379,3082,3798,3824,862,66686
Port Harcourt,128,90,1997,1998,2004,2005,1342566348,1865580157,669,1332,1432,1411,434,33027
Forcados,131,117,2008,2008,2008,2008,50422917277,96815098526,3602,4172,4594,4610,2857,221129
Yoho Terminal,182,88,2010,2010,2011,2011,10275609569,19630651257,138,1438,2768,2903,682,52748
Okwori,34,33,2004,2004,2006,2007,2079516135,2887840891,302,1209,2390,2098,234,16682
Bonny,363,154,2009,2009,2010,2010,181957857785,148601183243,4416,4337,5618,5571,19074,1171182
Onne,394,266,2010,2009,2009,2008,3877788327,4959213257,475,1439,1118,1122,1237,94186
Falomo,163,122,2005,2006,2011,2011,9822236446,15693345055,586,2321,2838,2920,1496,115278
Oyo,57,53,2006,2006,2009,2009,11436416167,21319412859,880,3101,4296,4344,722,55867
Escravos,222,152,2007,2006,2009,2009,26779476199,48580303308,617,2216,3533,3646,2103,162606
Antan,313,148,2005,2009,2012,2012,37033321541,70650718288,155,2421,4164,4235,2212,171101
Ima,81,70,2007,2008,2011,2011,18410966913,35220972304,1392,2908,4414,4467,1271,98370
Okono Terminal,74,58,2001,2007,2007,2007,22328453197,42094911591,3249,3780,4483,4476,1292,100023
Brass Oil Terminal,40,39,2009,2009,2011,2011,14841366569,28468477997,3528,4220,4595,4641,993,76944
Warri,72,48,1996,1997,2003,2003,397731460,538621291,171,1705,598,509,238,18050
Okrika,44,40,1996,1998,2007,2006,523719799,829261155,853,1351,1466,1449,172,13132
Koko,42,22,2008,2004,2010,2009,239316100,335320571,630,1098,687,691,92,6998
Sea Eagle Terminal,28,28,2005,2005,2006,2006,11627332384,22310769843,3061,3684,5580,5614,628,48577
Sapele,4,4,2004,2004,2009,2009,17462792,29004105,109,276,283,278,3,246
Calabar,83,32,1987,2000,2006,2006,563335484,939918699,122,742,1034,1135,120,9167
Kirikakiri,11,11,1997,1997,2005,1999,5806609,4574949,101,1385,467,320,24,1801
Akpo,2,2,2004,2004,2005,2007,110167294,167676071,8193,8193,8066,7976,30,2289
Anta,1,1,1974,1974,1974,1974,9126438,10570364,6909,6909,6909,6909,11,808
