int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Lagos,1982,988,2006,2007,2009,2009,82026369332,101936025678,325,1776,1510,1485,12407,955569
Sea Eagle Terminal,43,43,2004,2004,2008,2008,14130605169,26848747961,3293,4081,4594,4620,1072,82597
Forcados,138,125,2007,2007,2008,2008,53840367428,102977340215,4626,4407,4961,4967,4314,332857
Port Harcourt,161,113,1998,2000,2002,2002,3283159429,5100779179,736,1771,1656,1673,600,45919
Yoho Terminal,192,86,2011,2010,2011,2011,13087006173,25010519639,194,1727,3651,3835,1222,94285
Antan,341,172,2005,2008,2011,2011,35075152269,67114235004,225,2414,3670,3744,2969,229308
Falomo,146,111,2004,2005,2008,2008,5108020720,8387683007,323,1547,1617,1672,918,70711
Bonny,388,174,2008,2008,2010,2010,200241930635,164885929277,4811,4631,6054,5938,24080,1468867
Okwori,23,22,2003,2004,2006,2007,2301500663,3108489531,572,1488,3760,3274,342,25054
Erha Terminal,51,41,2008,2008,2008,2008,12243089216,23481760162,1970,2919,3513,3566,1483,114538
Escravos,256,182,2006,2006,2010,2010,34920295407,61987596357,963,3054,4421,4465,3400,262410
Oyo,51,48,2006,2006,2011,2011,6935778523,12291507519,853,2198,2985,2940,613,47440
Onne,443,285,2009,2009,2011,2011,17047901749,22455540404,730,2084,2760,2810,2345,180260
Ima,86,72,2009,2009,2011,2011,17819880825,33980247847,2875,3492,4248,4285,1664,128623
Okono Terminal,68,52,2000,2006,2008,2008,19169019615,36331021621,3643,4026,4446,4438,1577,122038
Brass Oil Terminal,43,42,2006,2006,2011,2011,11511381583,21651090909,3375,4350,4114,4071,993,76665
Warri,89,57,2000,2001,2006,2006,1276616830,2008816570,368,2273,1103,1085,287,21851
Sapele,14,8,1996,1999,2008,2008,250136258,383618103,388,2268,1564,1596,45,3443
Koko,49,25,2006,2003,2011,2011,480721467,690482227,678,1247,1330,1396,128,9725
Calabar,108,50,1992,2002,2008,2008,1694516329,2866318613,338,1296,1340,1395,208,16036
Okrika,37,34,2001,2002,2009,2009,873005879,1393541513,935,2776,2298,2263,176,13409
Kirikakiri,6,6,2002,2002,2008,2009,33939419,64366365,793,964,410,404,13,1003
Akpo,2,2,2004,2004,2001,2003,12097307,16353641,1038,1038,886,778,6,461
Anta,1,1,1974,1974,1974,1974,4121882,4774019,3120,3120,3120,3120,2,146
