int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,777,358,2007,2009,2011,2011,30499243443,50648058712,428,2004,1863,1892,5445,419449
Bulk carrier,348,249,2007,2008,2008,2008,17488883339,29987015884,1030,1929,1823,1820,1631,126132
Service - tug,290,166,2003,2004,2004,2003,427990838,394445932,230,2027,1149,1172,468,35254
Oil tanker,950,494,2006,2008,2009,2009,225228145839,426104783069,3145,3692,3994,4044,21479,1658515
Offshore,514,267,2007,2005,2013,2011,2510351920,2197457204,201,1542,1726,1442,1227,89118
Liquefied gas tanker,400,131,2010,2011,2010,2010,200996362967,163881041780,4747,5295,6068,6018,23780,1448472
Service - other,141,66,2006,2003,1993,1992,817894212,789116386,334,4510,5041,5219,309,23339
Miscellaneous - fishing,26,12,1984,1986,1976,1978,25234255,22130406,1160,2642,2069,2074,50,3736
General cargo,368,136,1999,2006,2008,2008,3411559824,4742296943,382,1211,1198,1207,627,48034
Refrigerated bulk,100,61,1992,1991,1992,1992,1475243430,1658086457,2481,2381,2401,2377,836,63524
Container,582,190,2007,2007,2011,2011,29542250518,36670424291,249,1215,1271,1265,3404,263660
Ro-Ro,99,20,2013,2012,2012,2012,4423367772,2293284435,228,1195,780,833,418,32229
Vehicle,91,54,2007,2008,2008,2007,16513809789,5585612238,3568,3424,3346,3364,1056,81716
Ferry-pax only,3,2,1979,1984,1989,1988,977571,135750,276,2223,390,369,1,90
Other liquids tankers,3,2,1971,1968,1977,1976,1968486,2128306,1156,1670,1241,740,119,8957
Ferry-RoPax,26,2,1976,1988,1975,1975,3329906,767568,119,98,118,119,13,989
