dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,1542,438,2001,2009,2006,2006,17902879447,31546208004,220,393,454,451,1898,146589
Service - tug,468,41,1980,1986,1994,1992,67919909,58959175,92,742,331,376,167,12537
Container,5589,306,2004,2006,2005,2005,21865340810,26688430661,164,253,216,216,4728,363290
Cruise,375,55,1988,1991,1996,1993,1295271308,184073087,252,323,331,328,595,45295
Chemical tanker,1402,378,2003,2006,1998,1998,13461259526,21691169959,317,678,1084,1093,4616,351772
General cargo,1561,291,2003,2004,2003,2003,3424034430,4932463463,194,561,411,422,937,71343
Oil tanker,2178,275,1998,2001,1999,1999,43960624634,75479571373,458,2028,921,923,9258,709837
Ro-Ro,91,7,1991,1995,1992,1991,129601536,84569431,187,298,225,210,42,3187
Liquefied gas tanker,130,78,2006,2006,2009,2009,4466233791,3454209801,305,817,1715,1301,584,37934
Ferry-RoPax,423,10,1994,2002,2000,1997,2000956844,334150637,198,338,556,422,795,59996
Miscellaneous - fishing,78,22,1992,1993,1990,1992,376590221,249317536,1072,2374,1972,2109,147,11042
Service - other,325,51,1995,1994,1996,1997,1554881512,1564956893,309,936,768,866,432,32793
Refrigerated bulk,6,4,1993,1994,1993,1993,86308797,91187981,168,4716,2621,2575,64,4837
Ferry-pax only,92,9,1993,1995,1994,1994,49675169,5928041,286,503,355,376,48,3620
Offshore,88,13,1994,1999,2005,1998,77706527,92543924,290,546,610,612,114,8570
Vehicle,3,3,2011,2011,2009,2008,30484608,10227318,91,166,159,171,2,143
Other liquids tankers,8,1,2002,2002,2002,2002,26591567,26605825,578,578,1782,1782,50,3879
Miscellaneous - other,12,1,1989,1989,1989,1989,38540965,10385147,266,266,498,498,13,995
Yacht,9,1,1911,1911,1911,1911,530384,568461,145,145,194,194,0,0
