int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Ramsey,46,21,1986,1997,1997,1995,57619349,25361369,158,325,185,273,23,1735
Walvis Bay,876,520,2003,2005,2009,2009,55462046990,64744686626,1681,2792,2637,2749,7729,582673
Ardjuna,209,140,1999,2001,2008,2010,2399851986,3885117098,480,969,1067,1259,531,40568
Kaohsiung,11553,3463,2006,2007,2009,2009,534639185038,678240561502,656,1941,1426,1474,65599,4955881
Luderitz,63,45,1999,2002,2004,2006,1243067270,1645891794,1237,3187,1990,2520,353,26890
Guayanilla,153,83,1998,2008,2007,2007,6713218472,7857135169,553,1415,1521,1486,932,64806
Al Shaheen Terminal,1625,289,2005,2005,2009,2009,27604991985,52113701045,152,857,1821,1945,2529,193969
Taichung,2147,1241,2006,2007,2009,2009,112867256837,166785923233,985,1829,2138,2152,11752,858202
Mailiao,1919,988,2007,2008,2009,2009,117092265059,194495463212,993,1825,2359,2325,11299,848009
Keelung,2211,551,2005,2006,2007,2008,63455167311,64921185183,499,1369,1158,1314,10377,800711
Mai-Liai,33,33,1998,1998,2001,1999,636714625,871437666,1167,3004,2056,2133,139,10683
Taipei,1787,569,2004,2005,2008,2008,69114397672,68384621249,637,1493,1246,1225,8466,653488
San Juan,2441,433,1998,2004,2007,2007,57281548647,28588860984,363,1301,695,1002,10814,812417
Hualien,261,167,2006,2007,2007,2008,14712157469,24595969423,1195,2046,2496,2542,1424,109972
Ponce,87,54,1997,1994,2006,2007,1004740414,1399959655,1263,1417,1124,1555,208,15844
Volve,928,232,2009,2005,2009,2008,2101062174,2613278488,189,602,379,383,856,63815
Gustavia,297,39,1992,1991,2004,2000,883075934,281599325,133,340,330,261,299,22861
Sha-Lun,190,170,2005,2006,2008,2008,23556657251,41819412934,1607,2181,2447,2563,1699,131191
Port Foster,88,31,1991,1988,1996,1994,494589471,80300742,639,715,738,774,213,16164
Vernadsky,59,27,1984,1988,1991,1984,310740638,68741067,814,908,836,858,149,11263
Esperanza,17,15,1991,1991,1990,1987,150040085,29533900,956,989,891,1044,61,4686
Palmer,29,17,1991,1990,1996,1993,194167209,35146129,889,768,920,975,90,6808
Escudero,27,20,1992,1993,1993,1983,217998208,120794853,674,3431,1200,2471,150,11371
Arturo Prat,63,36,1987,1987,1993,1988,804083345,381302422,670,1780,1399,2011,321,24471
Marigot,176,33,1988,1986,2002,2005,201146495,278118466,117,348,359,464,98,7446
Guernsey,594,61,1998,1997,2004,2000,2628409004,512497384,149,257,223,180,799,60362
Monaco,244,64,2005,2001,2007,2009,1213292678,454454105,136,210,178,237,339,26129
Hukou,118,97,2004,2004,2010,2009,6023981068,8185671688,1087,2084,2783,2552,747,57615
Lung-Men,255,192,2006,2006,2007,2007,18487709614,31167517733,883,1714,2478,2511,1710,128706
Las Mareas,34,13,1990,1987,2001,2001,792039957,1307782612,705,1248,1327,1344,105,8046
Yabucoa,184,70,2002,2006,2010,2010,3201946312,5401729024,477,1443,1188,1193,622,47582
Juan Carlos Primero,14,12,1990,1989,1988,1987,137371759,72533771,918,1497,1612,1769,47,3560
Arctowski,7,5,1996,1995,2002,2001,35747505,19617656,1024,1669,1156,1146,28,2139
Mayaguez,20,13,1996,1990,1987,1989,69909923,50880296,566,926,560,713,37,2772
Jersey,506,32,1999,1996,1998,1999,450811075,271619298,129,323,155,157,205,15434
Wu-Tu,9,9,2002,2002,2010,2010,343031012,618952907,571,1965,1230,1201,33,2560
Castletown,126,65,2000,1999,1999,2000,286139619,270113930,121,483,346,393,222,17024
Barentsburg,145,82,1984,1987,1992,1996,768982796,536601755,941,1867,1362,1602,458,34542
Maarianhamina (Mariehamn),23,5,2003,1992,2007,2008,183754549,93711894,81,1993,179,595,35,2640
Artigas,10,10,1993,1993,1990,1989,64489537,13962167,1052,1163,1368,1367,32,2445
