int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - other,379,159,1999,1997,1997,1998,2748279363,1825790155,765,1894,1774,1699,1185,89873
Oil tanker,1318,798,2005,2005,2008,2008,159829047116,294934076882,1544,2574,2296,2314,14249,1098774
Chemical tanker,3031,1084,2007,2008,2009,2009,49860734800,80685622358,927,1781,1565,1573,11154,856228
Container,10122,1190,2006,2008,2009,2009,423239669049,476197400399,511,1020,1143,1133,56155,4322886
Liquefied gas tanker,1130,430,2007,2008,2009,2008,134312325414,109721525003,1520,2337,3216,3110,16120,1047560
Ro-Ro,871,19,1996,2003,2004,2001,2273119406,967988823,122,409,282,221,585,44594
Bulk carrier,2838,1462,2007,2009,2010,2010,226889896573,413250023267,1482,2156,2295,2325,16159,1250418
Miscellaneous - fishing,398,272,1998,1998,1998,2000,1914942881,1277218233,1112,3812,3024,2921,1011,75934
Offshore,2015,280,2004,2004,2009,2008,5855319529,5472918256,145,994,853,746,2042,149634
Ferry-RoPax,878,47,1998,1993,1996,1995,3485766976,779858242,155,457,236,218,1028,77882
Vehicle,430,246,2008,2008,2008,2008,35872544542,11700138029,1152,1637,1588,1585,2163,167316
Cruise,1388,188,1996,1996,2006,2004,42928548830,4332882473,296,485,498,512,8993,691460
Service - tug,1294,295,1997,1999,1998,1998,1091404245,948752765,351,1131,649,675,1634,122915
General cargo,3330,997,2004,2004,2006,2006,33656932543,46589066639,633,1620,1434,1408,6286,481943
Refrigerated bulk,356,122,1992,1992,1993,1993,6053584088,6339091265,1632,2962,2456,2443,3621,274937
Ferry-pax only,94,17,1995,1995,1989,1986,178797574,42689483,558,2654,1147,1420,119,9029
Other liquids tankers,32,3,1992,1983,2002,2002,33033833,33109680,454,420,642,604,51,3913
Miscellaneous - other,5,1,1989,1989,1989,1989,23794034,6411478,705,705,738,738,9,673
Yacht,6,1,1911,1911,1911,1911,1786148,1914377,840,840,982,982,0,0
