int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Mongstadbase,387,179,2007,2007,2009,2009,5474255430,8007052970,641,918,888,909,1087,81744
Sjursoja/Oslo,753,183,2002,2002,2004,2005,3223754065,3758744803,539,623,523,542,960,72036
Mongstad,413,191,2009,2008,2010,2010,12261613933,20588863698,664,1115,1154,1173,1750,132341
Petrojarl Varg Fpso,325,104,2008,2007,2008,2008,946037570,1162834746,320,660,581,608,462,34713
Mo I Rana,190,118,2002,2003,2009,2009,1861126531,3191056719,1019,1079,1112,1107,289,21930
Hã˜Gset,78,32,2006,2003,2006,2006,504829140,708484554,768,884,855,866,141,10673
Boneset - Karmoy,37,31,1994,1994,1999,2000,70079506,67939054,434,830,607,517,40,3016
Stokmarknes,51,27,1993,1996,1995,1997,67845532,84275900,818,880,830,827,40,2984
Melkoya,105,37,2009,2011,2008,2009,29205576666,23029851326,1825,3118,3152,3166,3017,192155
Forus,24,22,2002,2001,2005,2003,39522041,42377523,446,515,463,504,14,1043
Karsto,556,137,2010,2010,2011,2012,5913832198,7790699906,550,744,716,708,1487,111882
Randaberg,64,40,2001,2000,2005,2003,211887885,276332893,461,450,393,377,112,8389
Halden,114,54,1995,1996,2004,2003,186924739,248937198,330,430,476,492,68,5130
Narvik,202,146,2011,2011,2012,2012,14880112029,28091488845,1162,1198,1233,1235,1001,76537
Slovag,147,111,2002,2004,2004,2004,1096831481,1596611117,565,730,859,920,218,16555
Slagen,327,170,2005,2006,2006,2006,6156745975,10757852148,461,734,1038,1100,1277,96303
Stavanger,337,220,2000,2000,2007,2007,3759303245,1551230931,507,645,630,978,864,64922
Horten,48,45,1996,1995,1999,1999,83713823,107110639,540,608,665,725,44,3323
Hausvikstrand,90,31,1994,1995,1998,2001,136774734,180232574,101,336,525,489,45,3364
Raudeberg,21,17,2000,1999,2004,2004,23641199,11343283,633,1078,1229,816,40,2971
Kalvag,50,46,1998,1999,2003,2006,147262936,168379626,625,1278,914,858,63,4750
Porsgrunn,566,320,2003,2004,2008,2008,2359164619,3446495357,482,571,703,695,653,49190
Mosjoen,88,61,2001,2003,2010,2010,1472224241,2160724900,1019,2052,2699,2798,283,21692
Bergen,181,118,1999,1999,2003,2002,2422971404,414280818,504,522,582,564,664,49903
Langoya,156,32,1991,1992,1999,1999,184167824,271004527,271,455,512,516,67,5086
Mandal,191,68,1995,1995,1996,1996,172742829,249352646,194,343,255,251,58,4338
Eydehavn,50,36,2000,1999,2005,2005,231123971,319519625,259,627,1062,1085,62,4716
Fredrikstad,565,265,2000,2000,2008,2009,2822329994,3709268949,454,695,790,954,658,49656
Stjordal,12,10,2006,2004,2006,2006,44395497,59742370,750,1172,1064,1099,15,1136
Drammen,475,128,1999,1999,2000,2003,2194729849,1888730642,414,453,466,542,469,35277
Tofte,23,11,2006,2002,2008,2008,41069647,56938014,304,379,345,347,13,942
Svelvik,8,7,2003,2002,2004,2003,11501960,14967039,381,334,359,358,3,259
Follafoss,39,26,1999,1999,1999,1999,92851822,133803468,795,751,763,757,28,2116
Herre,79,50,1997,1996,2004,2004,124796952,178284282,271,471,527,523,40,3033
Dusavik,500,126,2009,2006,2009,2009,1414841167,1206519436,191,780,498,394,659,49428
Skogn,63,17,1989,1995,1993,1992,611709369,349851602,821,1116,1435,1031,97,7364
Sunndalsora,68,40,2002,2007,2010,2010,2250168226,3514983674,905,2822,3643,3716,281,21676
Rafnes,534,160,2002,2006,2013,2012,5662270959,5964008811,445,703,1251,1048,1160,79014
Leirvik I Hyllestad,13,11,1998,1996,2006,2006,33607273,22830433,762,1214,1447,1393,25,1881
Haugesund,91,59,2001,2000,2004,2006,691634630,224945973,406,502,532,442,206,15359
Aaheim,64,62,2006,2006,2010,2010,708111478,1197681174,681,710,735,737,81,6144
Nesna,24,24,2001,2001,2008,2009,220845080,339962076,1110,1539,1572,1540,46,3500
Aagotnes,74,63,2008,2007,2010,2010,333890367,271371769,443,813,868,823,156,11753
Farsund,170,91,2000,2002,2008,2008,1012044339,1422572754,406,925,1501,1569,219,16648
Tananger,816,208,2005,2005,2008,2005,4071375152,2756490311,381,950,419,515,1140,80236
Brekstad,3,3,1986,1986,2003,2004,2230137,2852558,669,513,619,743,2,121
Sandnes,87,58,1996,1995,2002,2001,115685182,123803569,457,463,450,464,81,6038
Hoyanger,27,15,1998,2005,2011,2011,915875605,1429691171,756,2751,3493,3591,101,7779
