port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Qalhat Lng Terminal - Mina Qabus,14,2,2007,2006,2005,2005,48426604,73968779,156,508,345,346,23,1774
Port Of Sohar - Mina Al Fahl,2,2,2009,2009,2010,2010,8045346,12833384,178,178,204,205,8,606
Port Of Sohar - Mina Qabus,24,23,2010,2010,2012,2012,161582557,273742444,162,219,207,207,38,2949
Duqm - Mina Raysut,34,18,1995,1998,1997,1997,125447080,178850812,389,391,451,464,34,2619
Duqm - Fahal,2,2,2009,2009,2008,2008,65004230,127035959,2856,2856,398,397,17,1287
Mina Raysut - Mina Qabus,53,30,2001,2004,2006,2005,953203399,602439172,657,688,678,715,182,14103
Port Of Sohar - Mina Raysut,123,21,2005,2000,2007,2008,1446148925,2158198970,866,969,998,998,410,31281
Duqm - Mina Qabus,6,5,2001,2001,2007,2007,25752271,43193812,351,363,348,347,6,446
Salalah - Port Of Sohar,19,8,2007,2004,2008,2008,197300557,264611912,810,876,891,900,48,3706
Mina Qabus - Sur,10,7,2007,2007,2007,2007,279933262,234877589,272,1259,1556,1211,44,2918
Sur - Salalah,3,2,2009,2009,2009,2009,15240099,19164094,572,474,510,510,9,671
Muscat - Port Of Sohar,5,5,2003,2003,2002,2002,25462614,40333156,306,1121,343,352,20,1534
Duqm - Salalah,21,6,2005,2000,2005,2006,66138725,94812155,358,488,411,423,20,1537
Port Of Sohar - Duqm,19,19,2003,2003,2009,2009,466516164,809656107,575,746,1015,1059,46,3555
Fahal - Port Of Sohar,8,5,2003,2001,2003,2004,30984584,49788337,201,281,217,218,16,1207
Duqm - Sur,2,2,2010,2010,2011,2011,10931031,18678469,258,258,317,318,1,88
Salalah - Qalhat Lng Terminal,1,1,2014,2014,2014,2014,41720549,52458733,804,804,804,804,5,408
Fahal - Mina Al Fahl,3,2,2009,2008,2007,2007,7470329,13346789,233,2356,49,45,23,1762
Mina Raysut - Salalah,186,10,2009,2006,2009,2009,61100891,93162596,103,278,397,433,125,9409
Mina Qabus - Salalah,8,7,2001,2001,1998,2000,122364289,111874575,678,918,930,1358,27,2081
Duqm - Qalhat Lng Terminal,1,1,2014,2014,2014,2014,97569218,83769124,921,921,921,921,9,592
Fahal - Sur,6,2,2003,1994,2006,2007,18170207,27349683,370,303,393,403,10,722
Mina Qabus - Mina Al Fahl,6,2,2009,2010,2009,2009,5785696,6675466,315,570,311,300,5,373
Mina Raysut - Sur,1,1,2005,2005,2005,2005,16136555,29050839,525,525,525,525,1,103
Salalah - Muscat,1,1,1982,1982,1982,1982,1931793,2858939,711,711,711,711,0,7
Mina Raysut - Muscat,2,1,1997,1997,1997,1997,10524891,14624349,725,725,725,725,2,123
Sur - Qalhat Lng Terminal,4,2,2002,2002,2000,2000,4988372101,3998657939,6609,13299,13097,12800,899,53008
Fahal - Salalah,1,1,2009,2009,2009,2009,6397673,8048664,643,643,643,643,2,141
Qalhat Lng Terminal - Fahal,6,1,2007,2007,2007,2007,9221845,14023778,161,161,181,181,8,631
Qalhat Lng Terminal - Port Of Sohar,15,1,2007,2007,2007,2007,39424550,59953421,245,245,310,310,23,1774
Port Of Sohar - Sur,10,1,2007,2007,2007,2007,32032621,48712418,365,365,378,378,18,1334
Fahal - Mina Qabus,1,1,2007,2007,2007,2007,636974,968655,75,75,75,75,1,85
Qalhat Lng Terminal - Mina Al Fahl,14,1,2007,2007,2007,2007,20192205,30706545,122,122,170,170,26,1967
Mina Al Fahl - Sur,2,1,2007,2007,2007,2007,3724427,5663783,220,220,220,220,2,138
