int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,875,560,2007,2009,2009,2009,76269258792,142899054159,859,1813,2264,2370,4975,385160
Liquefied gas tanker,383,138,2008,2008,2006,2006,96996528498,75513008195,1400,2872,3969,3734,12836,801757
Chemical tanker,692,384,2008,2009,2009,2010,21184154641,34878612227,705,1384,1522,1529,3617,278787
Oil tanker,799,501,2006,2007,2009,2009,105904795475,200171651668,611,1599,1958,1981,8511,658468
Container,1583,338,2007,2007,2009,2009,200016271996,219278018736,1046,1920,2005,1962,20341,1574769
Vehicle,262,181,2008,2008,2009,2009,32248124818,10587686911,2108,2052,2071,2059,1983,153582
Service - tug,99,66,2005,2005,2009,2008,104206757,83956694,414,1258,1388,1329,130,9744
General cargo,345,195,2002,2003,2006,2006,7813569832,10156240146,862,1827,1868,1764,1229,94568
Ro-Ro,68,41,2003,2002,2003,2002,2428952134,1401048250,1092,1629,2437,2476,523,40035
Cruise,105,43,2006,2003,2006,2005,6789487815,699470515,664,1064,849,888,1414,109522
Offshore,47,16,1989,2001,2008,2007,307192168,261717055,336,1221,1144,1192,78,5871
Service - other,24,15,2004,2003,2003,2002,283474532,328038700,884,1419,1360,1413,75,5724
Miscellaneous - fishing,4,4,1975,1975,1974,1975,35411355,26086237,9404,9599,9560,9112,32,2402
Refrigerated bulk,1,1,1997,1997,1997,1997,15873736,18581608,3112,3112,3112,3112,7,553
Ferry-RoPax,54,4,2012,2012,2011,2012,69234458,6042500,457,1352,914,712,126,9485
