int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Port Of Sohar,2611,1278,2006,2007,2008,2008,128783517280,190153010417,542,1425,1536,1750,13265,1021925
Mina Qabus,478,348,2006,2008,2010,2011,98194014863,152237288852,1568,3122,3432,4302,8848,666286
Qalhat Lng Terminal,76,39,2006,2006,2005,2004,50257120696,36930334286,5814,4919,6739,6453,6920,412808
Sur,123,62,2006,2007,2005,2005,39362773835,30682934032,2471,3056,5308,4176,5643,340348
Salalah,1079,322,2008,2007,2009,2009,160725638356,181958441191,1604,2224,2069,2086,16696,1292526
Mina Al Fahl,79,70,2010,2010,2009,2009,43790575789,84094506404,5206,3586,4002,4000,2445,189353
Mina Raysut,566,422,2005,2007,2008,2009,41791017028,59441187545,1733,2450,2421,2446,5022,387832
Fahal,136,122,2007,2007,2009,2009,60734383333,114812757501,3174,3036,3630,3749,3755,290598
Muscat,12,12,2006,2006,2012,2011,3171033744,4772389071,3665,5670,5345,4979,276,19603
Duqm,181,152,2006,2006,2007,2008,6711221471,10333462917,910,1609,1428,1351,1261,97058
