port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Rabaul - Kavieng Harbor,58,20,2002,2000,1994,1996,135861144,165234211,181,919,467,407,96,7215
Kimbe - Kavieng Harbor,7,4,2002,1999,1999,1999,13903764,20224629,222,500,395,378,4,318
Port Moresby - Kopi,34,22,2004,2004,2002,2002,67865244,103171363,243,269,258,253,45,3401
Lae - Rabaul,248,59,2007,2005,2007,2007,873194867,1111819204,470,674,496,490,317,24123
Lae - Londolovit,98,25,2009,2005,2008,2007,694695147,846554359,531,875,572,576,237,18044
Lae - Madang,122,20,2003,2003,2004,2004,192508896,264168293,234,397,254,254,98,7369
Lae - Kimbe,10,8,2006,2006,2013,2013,67352073,108156246,476,587,467,470,22,1710
Motukea Island - Port Moresby,25,15,2009,2008,2011,2010,155593839,209114445,1421,2230,1950,1960,120,9055
Caution Bay - Rabaul,1,1,2012,2012,2012,2012,3340585,4872755,733,733,733,733,1,54
Rabaul - Pondo Harbour,52,18,2001,2003,1998,1998,92331502,147883775,148,237,177,176,36,2701
Alotoa - Kaibola,12,9,1999,2000,1997,1998,137464920,17151654,268,278,246,243,42,3202
Motukea Island - Aiambak,61,15,2009,2007,2008,2007,120153869,153653751,723,962,1168,1169,129,9700
Aiambak - Port Moresby,43,15,2010,2008,2007,2007,226908669,307659433,803,1252,2068,2135,160,12073
Lae - Motukea Island,240,60,2005,2006,2008,2008,1748997240,1942753254,623,752,691,674,450,34406
Motukea Island - Alotoa,77,15,2008,2005,2007,2007,114522311,131786793,278,288,319,318,91,6890
Alotoa - Lae,63,19,2005,2003,2005,2006,195221934,261900449,376,470,424,425,72,5501
Kopi - Daru,13,11,2002,2001,1998,1998,25994058,41868554,159,198,197,195,4,289
Kimbe - Amio,5,4,2004,2003,2001,2000,17491566,27058551,427,435,428,428,6,484
Madang - Wewak,78,14,2001,2003,2002,2002,101755034,142189501,194,213,220,222,42,3148
Vanimo - Madang,34,15,2007,1998,1996,1996,75307693,113751843,353,461,410,399,53,3973
Kaibola - Rabaul,12,4,1994,1994,1995,1995,202427145,25999953,287,647,298,305,51,3939
Port Moresby - Kumul,9,9,2006,2006,2007,2008,81760175,148427132,206,211,206,206,42,3219
Kumul - Alotoa,1,1,1996,1996,1996,1996,11151575,17182980,616,616,616,616,3,243
