int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,221,123,2001,2003,2002,2002,8725673969,14375617479,2624,2403,2331,2333,990,76148
Service - tug,25,23,2004,2005,2007,2006,30911598,24626652,1927,2117,1870,1888,50,3762
Cruise,39,22,1996,1997,1997,1996,1639073453,190115922,859,1198,937,917,487,37643
Miscellaneous - fishing,79,57,2003,2003,2002,2004,665933975,477490033,4971,7762,6708,5727,454,34063
General cargo,267,106,2003,2005,2002,2002,4546367893,6140917405,1907,2091,2082,2103,991,76160
Container,229,50,2008,2008,2009,2009,7943251128,9873594473,2357,2016,1955,1950,1658,127851
Chemical tanker,108,66,2010,2010,2010,2010,3897024466,6343043725,2595,2277,2029,2016,710,54728
Ro-Ro,29,23,2005,2005,1999,2000,50205058,61474404,659,839,1185,1163,168,12658
Refrigerated bulk,73,43,1986,1987,1988,1988,738751993,886343769,1838,2641,2599,2606,834,63010
Oil tanker,77,48,2006,2008,2009,2009,5682425437,9944252432,1575,2488,2300,2312,718,55526
Vehicle,13,10,2005,2004,2005,2005,1153700703,394464193,1347,2151,2025,2007,77,5975
Liquefied gas tanker,112,32,2013,2013,2013,2013,41912396546,32851572459,3559,4083,3939,3949,3788,248732
Service - other,12,10,1998,1996,2002,2001,66195538,48250324,1818,1850,2327,2988,32,2443
Ferry-RoPax,2,2,1994,1994,1989,1989,1583316,851056,174,174,233,236,19,1427
Offshore,6,5,2012,2011,2009,2009,320458962,279641373,1225,1550,2874,2842,23,1572
Ferry-pax only,1,1,2014,2014,2014,2014,856704,306391,744,744,744,744,0,31
Yacht,1,1,1986,1986,1986,1986,69551,37652,40,40,40,40,0,0
