int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,267,106,2003,2005,2003,2003,4863435023,6650509424,2369,2507,2227,2278,1027,78895
Ro-Ro,29,23,2005,2005,2001,2002,102496623,124925307,832,1945,2420,2363,300,22591
Miscellaneous - fishing,79,57,2003,2003,2006,2006,760881657,623248587,5120,7869,7665,7475,395,29659
Refrigerated bulk,73,43,1986,1987,1988,1988,806182117,971223705,1820,3462,2836,2856,1444,108917
Bulk carrier,221,123,2001,2003,2001,2001,9522373730,15651898059,2818,2622,2544,2540,1152,88592
Container,229,50,2008,2008,2010,2010,6235178783,7728825379,805,1495,1535,1526,1269,97787
Cruise,39,22,1996,1997,1997,1997,2250499974,264457513,1084,1050,1286,1275,586,45221
Oil tanker,77,48,2006,2008,2009,2009,7615627789,13410380474,2862,2794,3083,3118,853,66048
Liquefied gas tanker,112,32,2013,2013,2013,2013,42385653880,33089969874,3626,3856,3983,3978,4212,271888
Service - other,12,10,1998,1996,2000,2000,78910956,55244125,2550,2432,2774,3421,44,3341
Vehicle,13,10,2005,2004,2006,2006,1558913785,546590445,3314,2554,2736,2781,98,7590
Chemical tanker,109,67,2010,2011,2012,2012,5482253362,8970119074,3212,2881,2811,2806,888,68419
Service - tug,25,23,2004,2005,2008,2008,43086941,34574899,1411,2496,2606,2650,60,4515
Ferry-RoPax,2,2,1994,1994,1989,1989,516374,280335,42,42,76,78,20,1525
Offshore,6,5,2012,2011,2009,2009,974326746,847780734,2358,4082,8738,8616,94,5806
Ferry-pax only,1,1,2014,2014,2014,2014,413166,147764,359,359,359,359,0,21
Yacht,1,1,1986,1986,1986,1986,50216,27185,29,29,29,29,0,0
