port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Villeta - Puerto Sara,12,5,2000,2002,1999,1999,52556334,96865130,30,28,57,57,27,2062
Puerto Sara - San Antonio,9,3,2000,1998,1999,1999,187229965,345614841,82,96,204,204,69,5324
Barrio Caacupe Mi - Villeta,60,14,1991,1992,1997,1998,31263164,53599314,27,55,102,121,11,820
Barrio Caacupe Mi - Puerto Sara,29,12,1991,1991,1988,1987,2025619,2074818,22,28,27,26,12,904
Puerto Sara - Asuncion,1,1,1980,1980,1980,1980,93204,89653,26,26,26,26,0,3
Asuncion - Villeta,7,6,1993,1992,1999,1999,13881625,25483680,30,32,44,45,5,402
San Antonio - Barrio Caacupe Mi,19,9,1987,1988,1999,1999,152707487,281033486,40,59,308,315,25,1944
Asuncion - San Antonio,6,5,2004,2004,1999,1999,70551983,126590930,219,658,227,222,9,668
Villeta - San Antonio,29,7,2000,2002,1999,1999,835181472,1541656824,124,153,249,249,248,19191
Colonia Mariano Roque Alonso - Puerto Antequera,3,2,2014,2014,2014,2014,283607,226704,71,74,76,76,0,23
Puerto Antequera - Asuncion,8,4,2009,2004,2010,2011,1312092,1028893,159,167,142,141,2,143
Barrio Caacupe Mi - Puerto Antequera,11,6,1997,2006,2004,2006,1061427,1030706,112,125,123,128,2,143
San Antonio - Puerto Antequera,8,5,2006,2010,2006,2004,1754708,1732341,110,148,148,138,3,232
Asuncion - Calera Cue,1,1,2014,2014,2014,2014,1039318,830789,831,831,831,831,1,62
Calera Cue - Concepcion,9,4,1995,2004,2010,2011,1466721,1194117,96,106,193,192,1,97
Concepcion - Asuncion,12,6,2011,2007,2013,2013,4363939,3559717,184,188,319,314,4,313
Puerto La Victoria - Concepcion,7,4,2003,2004,2008,2010,700936,631070,105,113,115,111,1,46
Barrio Caacupe Mi - Concepcion,9,4,1998,2002,2003,2007,1042219,1222670,171,178,180,179,1,80
Puerto Guarani - Calera Cue,8,3,2004,2000,2008,2010,672212,606082,89,92,91,91,1,44
Puerto La Victoria - Barrio Caacupe Mi,1,1,2016,2016,2016,2016,181071,265267,254,254,254,254,0,17
Colonia Mariano Roque Alonso - Calera Cue,2,1,2016,2016,2016,2016,391389,573380,274,274,274,274,1,44
Barrio Caacupe Mi - Puerto Guarani,1,1,2016,2016,2016,2016,263758,386401,369,369,369,369,0,16
Concepcion - Puerto Antequera,14,6,1999,2002,2000,1999,1327111,1500054,82,83,78,75,2,146
Fuerte Olimpo - Calera Cue,3,2,1985,1992,1996,1998,376517,274280,174,172,172,172,0,33
Encarnacion - Villeta,1,1,1971,1971,1971,1971,185550,117233,395,395,395,395,1,46
Puerto La Victoria - Fuerte Olimpo,1,1,1971,1971,1971,1971,204566,129248,435,435,435,435,0,21
Concepcion - Colonia Mariano Roque Alonso,3,2,1985,1992,1994,1997,341468,246902,149,157,156,155,1,45
Colonia Mariano Roque Alonso - Barrio Caacupe Mi,2,1,1971,1971,1971,1971,24899,15732,26,26,26,26,0,3
Asuncion - Barrio Caacupe Mi,1,1,1971,1971,1971,1971,18104,11438,39,39,39,39,0,3
Puerto Antequera - Calera Cue,6,2,2007,1992,2010,2011,667680,523781,99,111,99,99,1,44
Puerto Guarani - Puerto La Victoria,3,3,2000,2000,2011,2012,620409,488229,213,186,209,213,1,52
Puerto Guarani - Concepcion,2,2,2014,2014,2014,2014,904388,722932,361,361,361,361,1,53
Villeta - Puerto Antequera,3,2,1999,2003,1998,1996,589166,709927,118,118,118,118,0,26
Puerto Antequera - Puerto Guarani,1,1,2014,2014,2014,2014,1170580,935715,936,936,936,936,1,84
Barrio Caacupe Mi - Fuerte Olimpo,1,1,2014,2014,2014,2014,1550296,1239246,1239,1239,1239,1239,2,114
Fuerte Olimpo - Concepcion,1,1,2014,2014,2014,2014,159402,127420,127,127,127,127,0,10
San Antonio - Colonia Mariano Roque Alonso,1,1,2014,2014,2014,2014,53381,42671,43,43,43,43,0,6
San Antonio - Fuerte Olimpo,1,1,2014,2014,2014,2014,866291,692479,692,692,692,692,1,49
Asuncion - Puerto Guarani,1,1,2014,2014,2014,2014,964525,771003,771,771,771,771,1,54
Barrio Caacupe Mi - Calera Cue,1,1,2014,2014,2014,2014,1034479,826921,827,827,827,827,1,63
Colonia Mariano Roque Alonso - Puerto Guarani,1,1,2014,2014,2014,2014,901985,721011,721,721,721,721,1,56
Villeta - Puerto Guarani,1,1,2014,2014,2014,2014,1001685,800708,801,801,801,801,1,61
Villeta - Colonia Mariano Roque Alonso,2,1,1999,1999,1999,1999,40451659,74727314,133,133,133,133,9,705
San Antonio - Puerto Guarani,1,1,2015,2015,2015,2015,515419,412005,412,412,412,412,0,23
Concepcion - San Antonio,1,1,1992,1992,1992,1992,345739,463504,184,184,184,184,0,22
