int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,459,238,2009,2010,2011,2011,20089331548,33424064070,1245,2537,2266,2254,3696,285154
Miscellaneous - fishing,84,79,1994,1995,1992,1992,674510082,506621143,5367,8571,3762,4059,611,45859
Container,1382,294,2009,2008,2010,2010,112930064344,126948226398,1158,1486,1319,1317,11779,911822
Vehicle,233,155,2007,2008,2008,2008,33051002525,11162379117,838,2431,2393,2400,2020,156494
Service - tug,59,35,1996,1996,1993,1993,12318215,7589017,251,670,595,548,49,3677
Bulk carrier,892,668,2012,2012,2011,2011,129527958770,238278114381,1563,3067,4135,4320,8823,682917
Oil tanker,168,99,2006,2007,2007,2007,12789903781,22491397169,1450,2280,1989,1996,2564,198349
General cargo,282,139,2008,2008,2010,2010,7373020709,10898909349,776,1773,1727,1768,982,75543
Liquefied gas tanker,76,53,2008,2008,2011,2011,30497140282,26598362408,2597,4744,5319,5406,3571,224406
Offshore,17,7,1980,1983,1977,1977,33966755,67164775,282,741,2506,3238,123,9214
Cruise,32,28,1998,1998,1999,1997,1318375040,145669303,593,748,851,863,323,24978
Service - other,14,11,1997,2000,1996,1997,461468156,598017061,1315,1335,1662,1735,61,4632
Refrigerated bulk,95,42,1997,1996,1996,1995,2424977133,2576831621,241,3026,2196,2135,1158,87859
Other liquids tankers,1,1,2016,2016,2016,2016,50930734,72340096,1845,1845,1845,1845,5,406
Ferry-pax only,133,1,2010,2010,2010,2010,18232431,1310339,278,278,281,281,18,1345
Ferry-RoPax,7,3,2006,2006,2008,2008,13652243,2214247,162,1174,481,713,12,911
