int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,459,238,2009,2010,2011,2011,18001433471,30090556499,1071,2133,2030,2030,2965,228582
Miscellaneous - fishing,84,79,1994,1995,2003,2003,774100751,671778959,3755,9930,4318,5383,725,54460
Container,1383,294,2009,2008,2010,2010,120317605039,134664922036,1141,1399,1404,1397,13467,1042511
Vehicle,233,155,2007,2008,2007,2007,30750045893,10498518621,780,2222,2226,2257,1765,136740
Service - tug,59,35,1996,1996,2002,2004,20160947,15143279,427,1299,973,1093,85,6365
Oil tanker,168,99,2006,2007,2007,2007,13504860911,23702049096,1402,2165,2100,2104,2374,183444
Bulk carrier,892,668,2012,2012,2011,2011,148258313974,269105977894,1491,3947,4732,4879,11413,883577
Liquefied gas tanker,76,53,2008,2008,2009,2010,53681255007,44744255266,7073,7418,9362,9094,7049,424242
General cargo,282,139,2008,2008,2010,2010,8522335405,12717273716,938,2118,1996,2063,1126,86544
Offshore,17,7,1980,1983,1977,1977,23068250,45830268,175,334,1702,2210,99,7423
Cruise,32,28,1998,1998,1999,1997,1520558207,173525564,727,893,981,1028,384,29738
Service - other,14,11,1997,2000,1999,2000,234075369,301878817,765,1582,843,876,53,4059
Refrigerated bulk,95,42,1997,1996,1998,1997,4166461644,4656920479,5537,4069,3773,3858,1944,148049
Other liquids tankers,1,1,2016,2016,2016,2016,27290091,38761817,989,989,989,989,6,474
Ferry-pax only,133,1,2010,2010,2010,2010,17539924,1260570,274,274,271,271,18,1334
Ferry-RoPax,7,3,2006,2006,2007,2007,22938593,2014342,47,347,809,649,9,708
