port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Balingasag - Cagayan De Oro,9,5,2003,2005,2001,2001,18390246,30927599,51,93,88,88,6,478
Taganito - Surigao City,21,19,2010,2010,2009,2009,87918822,148585972,297,336,288,285,23,1780
Surigao City - Masao,13,6,2012,2013,2013,2013,5108222,6741106,167,254,222,218,11,859
Masao - Surigao,15,6,2012,2011,2011,2011,23498036,36621266,170,197,187,183,38,2835
Surigao City - Nasipit Port,34,17,1993,1999,1998,1997,13654102,16981200,87,223,144,136,21,1608
Nasipit Port - Talibon,7,5,1993,1994,1995,1998,6547859,4425908,411,496,405,526,19,1449
Talibon - Culasi,1,1,2013,2013,2013,2013,273167,253284,127,127,127,127,0,24
Batangas City - Nasugbu,36,28,2005,2004,2007,2007,92377879,99217704,205,425,202,235,40,3047
Laguna - Cagayan De Oro,482,51,1993,1993,1992,1993,437543390,285676967,154,176,207,193,129,9767
Cagayan De Oro - Tanauan,45,14,1993,1995,1994,1994,33774096,47436689,225,263,249,251,11,825
Tanauan - Manila,111,12,1995,1995,1998,1997,168464761,236057157,391,435,513,501,34,2601
Manila - Danao,106,50,1998,1997,1996,1998,195077219,231340216,428,486,472,479,117,8844
Danao - Laguna,14,11,1997,1997,1995,1996,13673449,13403142,194,402,327,283,5,397
Laguna - Manila,513,82,1994,1996,1996,1997,1298019001,1591072425,410,455,448,454,378,28887
Laguna - Port Ozamis,124,21,1985,1992,1989,1993,47337442,31630950,134,178,185,161,24,1786
Port Ozamis - Tanauan,6,3,1993,1993,1993,1993,4805375,8593874,356,570,389,440,2,172
Danao - Tanauan,6,4,1994,1994,1995,1994,4983729,6860323,341,364,328,326,2,121
Laguna - Davao,155,36,1995,1995,1998,1998,536099808,716484606,568,754,707,715,148,11310
Davao - Gen Santos,685,129,2002,2002,2004,2004,1701242470,2225867489,168,281,244,247,495,37808
Gen Santos - Manila,426,48,1996,1999,1996,1996,1573072174,2044420485,714,740,760,760,468,35694
Manila - Mactan Island Apt,95,42,1996,1995,1996,1998,286469117,305741737,445,511,485,496,81,6194
Mactan Island Apt - Davao,30,20,1996,1995,1997,1997,50307298,67281016,473,545,527,525,20,1519
"Gen Santos - Cajidiocan, Visayan Isl",1,1,1993,1993,1993,1993,2877575,4201362,1022,1022,1022,1022,1,67
"Cajidiocan, Visayan Isl - Lapu-Lapu, Cebu",4,3,1998,2000,1996,1996,1777564,2813853,297,258,260,270,1,91
"Lapu-Lapu, Cebu - Mati",2,2,1992,1992,1993,1993,1384756,2205422,353,353,363,360,1,40
Mati - Davao,25,17,1999,2003,1988,1989,365161655,464234778,180,459,1269,1063,125,9545
