dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,1008,346,2005,2008,2008,2008,10931242912,18984338933,398,547,493,488,1430,110232
Ro-Ro,1261,29,1997,2004,1990,1992,3120379281,1980438485,202,403,376,351,1703,129275
General cargo,10551,395,1996,2002,1996,1997,16281388953,22216755584,378,606,496,502,4694,358058
Container,3429,201,2002,2006,2004,2004,16233731417,20649658781,395,337,400,400,4640,355028
Oil tanker,3108,101,2004,2004,2006,2006,3755999951,5663717036,356,464,534,533,3872,291845
Liquefied gas tanker,496,53,2010,2009,2008,2008,947928467,1042277080,434,479,526,524,609,46131
Chemical tanker,1414,200,2003,2008,2008,2008,4291415561,6844502230,396,492,559,558,1668,127194
Ferry-RoPax,4985,50,1989,1995,1992,1992,10295526555,2780464543,190,2135,418,428,4142,315419
Service - tug,327,54,1999,2000,2002,2003,83028134,59574410,279,999,670,657,243,18246
Cruise,35,15,1999,2001,2007,2006,338853348,36524553,271,490,274,291,187,14189
Service - other,309,26,2005,1999,1997,1994,276925526,236410743,412,975,774,864,351,26413
Ferry-pax only,217,7,1998,2001,2002,1993,118044070,56910262,287,1487,864,483,158,11889
Miscellaneous - fishing,29,5,2014,1998,1996,1994,21936991,9396687,389,960,983,962,30,2263
Refrigerated bulk,36,15,1994,1994,1988,1988,429040952,519146967,243,1218,1629,1745,204,15502
Vehicle,766,34,1984,2003,1997,1996,1268193049,583010915,159,403,331,334,331,25202
Offshore,41,2,2012,2012,2012,2012,62530885,61461904,213,281,290,290,43,3225
