int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Manila South Harbor,1402,423,2005,2005,2005,2006,31470497285,35553977750,748,1348,966,1031,6284,484316
Semirara,80,76,2008,2008,2007,2007,3013892950,5073412199,1072,1987,1393,1349,331,25403
Balingasag,20,16,2010,2009,2009,2009,382579776,603975084,877,1187,1100,1104,45,3466
Manila,1055,544,2006,2005,2008,2008,28916017871,40589307421,1167,1351,1333,1402,5098,392557
Taganito,285,187,2010,2010,2011,2011,11799574225,20436376866,1590,1592,1600,1600,1305,100786
Batangas City,724,456,2007,2007,2008,2008,33810276207,41916990757,1359,1826,1848,2163,4141,319064
Villanueva,121,113,2009,2009,2010,2010,13457693359,25646850776,1400,1844,2718,2801,877,67746
Laguna,205,159,2004,2005,2009,2010,6674244309,10997626517,1275,1839,1935,1954,900,69168
Subic Bay,536,373,2006,2007,2010,2010,22476884398,33521418535,1573,2322,2130,2310,2899,222154
Masinloc,155,137,2007,2007,2008,2008,5906583490,9956391524,1541,1761,1847,1903,627,48396
Lucanin,259,228,2007,2007,2008,2008,15529242545,26951015316,1320,1630,2476,2597,1494,115393
Davao,1008,399,2002,2006,2005,2006,30296548511,39728377410,1830,2051,1903,1860,6830,522629
Bauan/Batangas,307,260,2007,2008,2009,2010,12008691732,13628885782,1469,1682,1807,1939,1498,115090
Jasaan,95,72,2008,2008,2009,2009,9335979229,17815435456,1452,1788,3087,3176,581,44880
Pulupandan,95,74,2002,2003,2004,2005,1058150600,1523663166,1323,1385,1424,1508,234,17934
Toledo,103,71,2007,2007,2010,2011,2607936648,4150737060,1590,1721,1666,1643,432,33149
Ormoc,68,66,2010,2010,2012,2012,2431630886,3855811350,1452,2072,2469,2459,342,26369
"Calubian, Leyte",11,11,2007,2007,2008,2008,581789129,914374462,1916,2982,3837,3800,67,5156
Dumaguete,33,31,2008,2008,2007,2007,581189322,906769324,1217,1682,1496,1483,98,7584
Castanas,33,33,2010,2010,2012,2012,3695496171,5766046675,2384,3252,3226,3309,369,28508
"Pasaleng, Luzon",16,16,2009,2009,2011,2011,3025398453,4888802143,1985,3966,5458,5435,270,19689
Lugait,53,48,2010,2009,2010,2010,3099548708,5416191422,1471,2256,2753,2844,321,24826
Labason/Zamboanga,4,4,1998,1998,2007,2009,166693933,246271393,2701,11502,2942,2978,44,3358
Opol,30,27,2006,2006,2009,2009,719591649,1105720544,1351,1563,1590,1674,114,8820
Gen Santos,293,133,2003,2001,2006,2007,6011662815,8457500713,1415,1982,1564,1634,1849,140703
