int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,2515,404,2006,2007,2007,2007,61132869362,76626784023,971,1099,1066,1068,11473,884891
Bulk carrier,2235,1404,2009,2009,2010,2010,148906934766,265844618224,1523,2130,2157,2174,12506,967563
Ro-Ro,81,32,1998,2004,1993,1994,661640728,370284078,509,513,869,898,419,31945
General cargo,1595,728,2003,2003,2006,2006,19537377527,27295115534,1533,1721,1749,1751,4062,311056
Chemical tanker,936,494,2008,2009,2010,2010,20833275907,34212921792,1409,1616,1743,1749,4093,314774
Vehicle,352,119,2005,2006,2007,2007,17505031161,5791083230,1346,1439,1440,1457,1420,109674
Oil tanker,359,243,2005,2006,2007,2007,37412595399,69390714708,1328,1877,3235,3332,3792,292847
Liquefied gas tanker,389,154,2007,2007,2008,2008,13146163655,13106934177,1354,1879,2596,2501,2055,149021
Cruise,100,37,2001,1999,2004,2003,5380990700,588002354,676,1001,772,784,1344,103812
Ferry-RoPax,56,52,1996,1996,1996,1994,368211480,136341546,264,4094,2123,2354,476,35736
Refrigerated bulk,534,69,1995,1992,1997,1996,10266443990,11045234872,1949,2543,2402,2424,5214,397285
Service - tug,140,89,2005,2002,2005,2005,126076488,103134891,778,1394,1565,1545,169,12754
Miscellaneous - fishing,21,17,1999,1999,2003,2004,112321201,99871504,1796,3927,3225,4041,42,3127
Service - other,70,41,2001,1998,2000,1998,702782371,373638391,1009,2894,2373,2257,300,22760
Ferry-pax only,10,8,2001,2004,2007,2005,128214630,10615850,1072,19057,21022,2771,113,8491
Offshore,9,9,2001,2001,1992,1992,249383577,243631921,1149,1632,2146,2171,64,4875
