int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Gdynia,3635,968,1999,2002,2004,2007,33916581937,37741781608,363,812,548,860,6933,521558
Swinoujscie,2994,454,1994,2001,2003,2008,26272966321,26842352845,125,1144,430,979,4333,326570
Skolwin,390,259,1996,1998,2000,2001,947587088,1158355708,432,574,654,556,303,22816
Szczecin,1500,757,1999,2000,2005,2006,4345347765,6221460224,546,645,701,722,1452,109180
Nowy Port,655,270,1995,1997,2000,2003,4936068841,3400700657,287,705,518,940,1303,98077
Karsibor,20,20,2001,2001,2003,2004,34211012,46493642,475,585,475,474,13,940
Gdansk,2109,980,2003,2003,2012,2011,57340499094,82555873136,534,961,1158,1300,7557,570326
Krynica Morska,15,12,1989,1989,2017,2017,159863027,257709670,183,1009,3479,3750,37,2781
Darlowo,75,35,1988,1990,1993,1993,45057502,65579076,295,391,331,326,18,1360
Wladyslawowo,154,61,1986,1990,1993,2000,156549804,181183279,561,962,874,739,172,12947
Leba,29,26,1988,1988,2000,2001,180928821,209133536,330,1040,889,799,53,3983
Police,201,106,1994,1998,2006,2006,1835333967,2839650977,578,912,1581,1659,257,19470
Gorki Zachodnie,21,21,1996,1996,2006,2006,135714086,227468384,403,443,372,360,28,2090
Miedzyzdroje,8,8,1990,1990,1993,1996,22184422,21273864,592,1933,1254,942,13,995
Rewal,5,4,1981,1980,1985,1984,3707777,3392920,290,791,738,719,3,207
Kolobrzeg,274,53,1984,1988,1988,1989,113459939,108854750,391,850,582,499,186,13937
Stepnica,8,6,1984,1990,2000,2002,11183977,14370888,599,723,892,924,6,456
Dziwnow,14,12,1994,1995,2010,2010,134854903,224007398,523,753,2061,2238,15,1172
Mrzezyno,31,18,1991,1991,1992,1991,15991896,21566433,286,707,354,362,13,963
Trzebiez,18,16,1993,1994,1999,2000,24937800,33823720,396,566,615,631,10,752
Ustka,20,16,1993,1994,1996,1996,13457691,15108011,282,656,278,293,17,1241
Niechorze,7,5,1977,1978,1980,1980,4568604,4966840,390,657,585,529,4,316
Czarna Dabrowka,1,1,2016,2016,2016,2016,7787871,14485979,136,136,136,136,1,112
Ustronie Morskie,11,7,1990,1989,1989,1987,2190915,2055282,284,659,412,465,3,226
Bielinek,1,1,1997,1997,1997,1997,36694,44087,274,274,274,274,0,28
Dabrowka,1,1,2006,2006,2006,2006,149876298,282677324,1930,1930,1930,1930,10,779
Piorunow,1,1,1998,1998,1998,1998,78102273,92441507,9311,9311,9311,9311,27,2128
Ruchocice,1,1,2019,2019,2019,2019,47495034,46020486,314,314,314,314,1,76
Piatnica,1,1,2016,2016,2016,2016,2769822,5327679,29,29,29,29,0,29
Korzenna,1,1,1998,1998,1998,1998,6237385,10888753,233,233,233,233,1,57
Wolin,2,2,1998,1998,2008,2008,6748716,10424794,750,750,974,967,1,99
Kamien Pomorski,1,1,1986,1986,1986,1986,528559,856461,350,350,350,350,0,15
Jedlina-Zdroj,1,1,1975,1975,1975,1975,37078808,62162849,6401,6401,6401,6401,15,1176
Nowe Warpno,2,1,1986,1986,1986,1986,1567682,1958632,485,485,485,485,0,34
Elblag,5,1,1967,1967,1967,1967,457076,719932,409,409,292,292,1,58
Mierzyn,1,1,1984,1984,1984,1984,467097,695030,468,468,468,468,0,16
Chobienice,1,1,2020,2020,2020,2020,113574,87989,68,68,68,68,0,3
