int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Refrigerated bulk,137,45,1991,1993,1997,1997,642968927,622465054,561,1167,1131,1186,465,35075
Container,1584,180,2006,2007,2011,2011,32717493763,34067734048,472,603,740,718,4401,330348
Liquefied gas tanker,209,57,2011,2007,2009,2009,4846618922,4272518534,549,897,1210,1219,759,57086
General cargo,3853,1174,1997,2001,2002,2003,10101670175,13668800075,463,706,740,723,2897,218289
Chemical tanker,695,270,2004,2006,2007,2007,5057898976,7904739285,549,717,717,730,1803,135509
Bulk carrier,621,427,2006,2009,2011,2011,38303583817,69353719422,711,2008,2182,2236,3421,260698
Service - other,153,58,1990,1991,1999,2002,238991332,250030226,253,729,968,874,196,14734
Service - tug,308,102,1986,1992,1987,1987,85095525,61156636,364,622,699,849,195,14658
Vehicle,128,27,2001,2002,2004,2004,1419286841,494927343,614,816,702,709,264,19611
Miscellaneous - fishing,406,88,1985,1986,1988,1989,274058092,129269366,494,1231,1254,1155,465,34908
Cruise,121,43,2001,1996,2008,2007,1969505347,217096183,293,335,385,373,509,38199
Oil tanker,208,108,2003,2008,2011,2011,14069813590,25774098998,555,1444,1578,1612,1966,148855
Offshore,70,22,1985,1996,2003,2002,70462682,62943158,183,523,336,275,88,6570
Ro-Ro,367,29,1999,2003,2002,2001,2695208139,1553804102,345,668,415,400,867,65112
Ferry-RoPax,3293,40,1992,1996,1992,1993,18412581745,4256623511,154,346,224,218,4406,330848
Ferry-pax only,53,7,1985,1980,1983,1981,25622397,3845945,184,2767,719,859,56,4212
Miscellaneous - other,1,1,1989,1989,1989,1989,51055557,13757296,7916,7916,7916,7916,20,1496
Other liquids tankers,5,1,1988,1988,1988,1988,10378706,18047781,733,733,1095,1095,10,766
Yacht,2,1,1958,1958,1958,1958,219542,377387,425,425,425,425,0,0
