int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Gdynia,3587,949,1999,2002,2002,2005,28412568202,27691328875,376,722,464,646,6177,464406
Swinoujscie,2881,366,1993,2002,2001,2006,19777843207,16791570295,107,921,327,626,3388,254711
Skolwin,370,249,1996,1999,2005,2005,1456467491,2179805430,428,634,1021,1065,325,24544
Szczecin,1579,787,2000,2001,2006,2006,5976303811,8745067276,470,694,820,854,1526,115089
Nowy Port,671,283,1995,1998,1999,2004,4313345355,2357410999,297,556,449,636,1090,81750
Karsibor,25,25,1998,1998,2005,2007,78902317,100105179,404,799,993,936,30,2254
Gdansk,2181,992,2003,2003,2011,2011,40117023316,53008172517,530,735,811,835,5143,386746
Krynica Morska,15,12,1990,1990,2008,2010,28054102,40829672,446,726,583,586,12,888
Wladyslawowo,164,63,1985,1989,2000,2004,96687543,126986285,497,919,545,512,180,13504
Police,204,108,1994,1999,2003,2004,737224983,1078494849,385,515,623,617,128,9598
Leba,25,25,1993,1993,2010,2010,323263125,520053154,351,751,1510,1962,64,4851
Gorki Zachodnie,25,25,1995,1995,2005,2006,166674152,288756762,466,537,452,455,39,2907
Miedzyzdroje,8,8,1992,1992,2003,2004,8642133,10886898,266,304,419,430,4,304
Rewal,5,4,1990,1992,1995,1994,12226096,3194649,100,321,413,312,3,221
Darlowo,87,37,1988,1991,1993,1993,64949372,92214593,303,504,465,469,36,2731
Kolobrzeg,268,53,1984,1988,1986,1988,74621434,58003171,239,438,386,335,136,10185
Stepnica,6,4,1979,1984,1991,1991,3254058,3786453,287,352,373,378,2,142
Mrzezyno,27,18,1991,1991,1988,1988,9949416,13830087,135,380,247,262,5,370
Dziwnow,18,14,1992,1993,1997,2001,33503168,32131874,392,2928,595,372,27,2045
Trzebiez,19,17,1988,1988,1997,1999,27860004,36871459,378,628,720,725,13,979
Ustka,18,16,1993,1993,2002,2001,15745867,13528104,240,727,251,248,18,1339
Niechorze,7,6,1981,1982,1985,1987,3058804,3770041,350,352,325,316,2,174
Czarna Dabrowka,1,1,2016,2016,2016,2016,9687324,18019095,169,169,169,169,1,56
Ustronie Morskie,11,8,1989,1988,2004,2006,4880686,6229885,205,553,870,1190,4,271
Duczki,1,1,1997,1997,1997,1997,72204,86752,539,539,539,539,1,55
Kamien Pomorski,2,2,1986,1986,1987,1987,1761086,2131117,464,464,460,459,1,42
Znin,2,2,2012,2012,2013,2011,253582217,347598496,1186,1186,1107,1186,11,814
Piatnica,1,1,2016,2016,2016,2016,14205713,27324309,151,151,151,151,2,173
Korzenna,1,1,1998,1998,1998,1998,7931304,13845868,296,296,296,296,3,237
Wolin,1,1,1986,1986,1986,1986,553560,896973,366,366,366,366,0,16
Jedlina-Zdroj,1,1,1975,1975,1975,1975,580437,973106,100,100,100,100,0,18
Nowe Warpno,2,1,1986,1986,1986,1986,984467,1229975,305,305,305,305,0,32
Elblag,5,1,1967,1967,1967,1967,283927,447207,44,44,181,181,0,15
Chobienice,1,1,2020,2020,2020,2020,69599,53920,41,41,41,41,0,2
