dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,161,41,2012,2010,2011,2011,1102652220,1767977872,161,272,255,253,244,18763
Service - tug,1929,121,2008,2008,2009,2009,503116847,419377940,89,184,183,176,516,38718
General cargo,17,11,2002,2004,1997,1997,51324748,74745659,132,224,290,295,20,1477
Vehicle,7,7,2004,2004,2002,2002,53051803,18562266,122,143,135,131,3,258
Container,148,26,2006,2006,2006,2006,489921683,588092153,109,215,184,183,188,14248
Oil tanker,70,46,2006,2007,2007,2007,887772593,1628887700,197,379,321,318,190,14578
Bulk carrier,114,70,2004,2006,2005,2005,1294037146,2279574717,161,388,290,288,192,14863
Service - other,54,10,2010,2007,2009,2004,20562387,12695268,139,2159,246,156,50,3756
Offshore,1781,75,2011,2010,2010,2010,613926242,630169396,76,519,141,136,840,63077
Liquefied gas tanker,41,11,2008,2007,2007,2007,827392884,667376303,107,402,693,605,136,9852
Ro-Ro,10,7,2009,2009,2006,2004,1001496,1766000,133,174,208,233,6,485
Ferry-pax only,3,1,1972,1972,1972,1972,5659514,842433,1359,1359,1237,1237,5,354
Cruise,1,1,1991,1991,1991,1991,9049160,1228475,312,312,312,312,2,143
