dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,3027,615,2001,2002,2002,2001,12162795412,17950870693,474,675,910,902,2960,225566
Bulk carrier,3897,678,2000,2009,2005,2005,50007528909,87388641251,533,812,912,917,6037,463556
Oil tanker,2390,293,2002,2008,2007,2007,18442287446,33316356171,581,740,770,762,5223,398212
Service - tug,735,88,1995,1999,2001,1999,417961920,286678908,680,2032,1712,1735,1203,90391
Vehicle,428,181,2008,2007,2008,2008,15528078754,5310390146,425,706,604,614,884,68434
Container,1447,370,2009,2008,2009,2009,14886541902,17523157987,171,352,386,385,2480,191118
Chemical tanker,2885,514,2004,2008,2007,2007,18437764465,29282765654,582,704,998,1006,5804,444856
Liquefied gas tanker,724,164,2000,2009,2008,2008,15855246743,13374624063,525,901,1186,1151,2725,195046
Miscellaneous - fishing,281,92,1996,1993,2001,1998,767031781,492167986,1142,2875,2791,2864,745,55962
Service - other,256,36,2000,2000,1997,1993,790880621,633066331,471,1451,818,771,525,39645
Refrigerated bulk,67,43,1991,1991,1989,1989,530283579,616774225,515,1129,1493,1548,314,23819
Offshore,61,9,2002,2010,2018,2018,2213136279,1768968671,691,2543,998,1010,136,9388
Ferry-RoPax,74,16,1997,2001,1997,1997,5477064240,2164889517,2777,12421,5399,5765,3104,237782
Ro-Ro,1001,21,2001,1999,1999,1999,5396521398,5360206629,269,1109,879,793,2660,205789
Ferry-pax only,56,10,2003,2001,2015,2015,169304103,25911790,1288,2374,7273,5095,213,16001
Cruise,4,4,2000,2000,2003,2002,62057655,5835602,181,192,195,196,17,1278
