dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,830,256,1990,1992,1988,1988,302281636,423535788,86,118,118,116,154,11650
Service - tug,589,37,1999,1997,2002,2002,108948071,82599565,91,396,137,134,193,14503
Bulk carrier,30,14,1980,1986,1988,1989,176944577,292946798,94,720,956,991,48,3716
Service - other,18,8,2002,2001,2008,1993,17883497,11446787,340,630,677,805,32,2389
Oil tanker,8,8,2006,2006,2010,2010,190403260,360860277,159,414,712,731,26,2035
Chemical tanker,33,17,2008,2007,2011,2011,17413759,26485466,84,89,99,100,26,1934
Liquefied gas tanker,10,3,1996,1999,2003,2003,3327760,3749437,58,74,83,82,8,564
Offshore,41,4,1987,1998,1985,1985,13175895,20253485,73,49,160,164,26,1971
Miscellaneous - fishing,27,4,1990,1990,1980,1977,18725496,9314690,201,222,386,390,27,2007
Container,13,5,1994,1999,2000,1999,12043093,14493947,71,71,55,56,13,987
