int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Constanta,2938,1518,1999,2001,2006,2007,18639757501,28097902575,238,399,401,428,4236,325165
Midia,613,301,1996,1998,2005,2005,2787774897,4512901487,253,349,398,400,918,70171
Sulina,745,381,1992,1994,1993,1993,988984561,1462908944,291,402,355,355,318,24194
Agigea,267,208,1995,1995,2000,2000,318482648,442078834,227,284,307,305,128,9704
Mangalia,87,73,1999,1999,2004,2004,431162788,675327825,234,473,387,388,287,22100
Tulcea,75,65,1990,1991,1995,1996,57715142,79790109,107,248,250,249,31,2308
Sfantu Gheorghe,51,47,1991,1990,1992,1993,75456789,95791735,268,269,275,280,18,1331
Braila,18,18,1994,1994,1996,1996,26537997,40593078,419,476,474,484,16,1209
Galati,58,38,1986,1992,1999,1997,77519803,95159038,248,1281,377,389,39,2932
Isaccea,10,9,1995,1993,2005,2006,8728859,12239420,78,233,245,254,4,308
Eforie Sud,3,3,2005,2005,2015,2015,20333871,22924482,273,275,203,199,2,179
Chiscani,13,6,1966,1968,1965,1965,3994951,5797629,159,180,197,207,2,137
Orsova,5,4,1976,1979,1966,1965,936907,1106127,112,124,132,131,0,24
Macin,1,1,1964,1964,1964,1964,225633,257797,121,121,121,121,0,3
Bechet,12,6,1969,1972,1988,1990,7215469,9941531,148,418,330,338,2,135
Bazias,1,1,1964,1964,1964,1964,397645,454329,213,213,213,213,0,5
Ovidiu,1,1,1980,1980,1980,1980,40115,23279,361,361,361,361,0,11
Harsova,2,1,1967,1967,1967,1967,1471778,1838170,444,444,444,444,0,30
Fetesti,3,2,1966,1966,1966,1966,1420899,1729309,260,262,274,276,0,33
Cernavoda,1,1,1967,1967,1967,1967,496407,619985,299,299,299,299,0,9
