port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Vostokmorservice - Prigorodnoye,26,17,1996,1993,2002,2003,202301258,289316285,595,758,1094,1110,60,4582
Ust-Luga - St Petersburg,381,93,1995,2002,2000,2003,418744603,471670182,80,216,159,130,411,30850
Taganrog - Rostov-Na-Donu,79,70,1989,1989,1996,1995,22481124,25820996,51,98,86,81,12,891
Rostov-Na-Donu - Astrakhan,33,31,1992,1993,1995,1995,75593487,94165018,581,659,643,645,27,1995
Astrakhan - Volgograd,934,299,1993,1994,1996,1997,1118638722,1397103537,278,350,347,341,415,31240
Volgograd - Bagaevskaya,454,191,1999,1994,2001,2002,632132695,825477560,278,326,353,352,238,17906
Bagaevskaya - Rostov-On-Don,198,139,1992,1993,1994,1994,104136505,128820205,51,109,144,145,55,4109
Okha - Vitaz Marine Terminal,5,5,1987,1987,1988,1989,4391474,2180464,317,404,515,511,2,170
Vysotsk - St Petersburg,252,42,2003,2001,2010,2011,283770647,335297943,102,323,284,264,196,14727
Kronshtadt - St Petersburg,86,36,1989,1992,2002,2001,97260051,68610731,177,478,331,337,200,15047
St Petersburg - Oleniy Ostrov,103,40,1984,1984,1983,1983,175114377,148419427,296,584,593,587,56,4270
Azov - Kavkaz,2214,514,1989,1989,1992,1992,1664584940,2072187854,178,197,210,210,673,50752
Yeysk - Azov,574,297,1989,1989,1992,1992,121917296,147960365,45,77,59,58,159,11977
Yeysk - Rostov-On-Don,1516,530,1990,1989,1991,1991,411158026,517687308,60,72,73,73,407,30565
Rostov-On-Don - Kavkaz,2948,649,1991,1991,1994,1994,2368877222,3047742201,193,203,217,218,932,70194
Kavkaz - Yeysk,1540,539,1992,1991,1995,1996,1003766038,1273402299,134,180,180,182,450,33856
Bagaevskaya - Kavkaz,172,101,1996,1991,1998,1998,201383286,260144840,246,293,304,304,108,8158
Rostov-Na-Donu - Kavkaz,231,122,1989,1988,1989,1989,174349300,221764484,204,218,224,224,83,6254
Taganrog - Rostov-On-Don,1532,558,1990,1990,1991,1991,354088795,445644565,43,72,64,63,507,38087
Yeysk - Rostov-Na-Donu,128,104,1985,1986,1990,1990,54259266,70160802,69,115,126,127,26,1923
Rostov-Na-Donu - Azov,7,7,1986,1986,1981,1980,26452516,35218902,231,1053,975,1069,9,655
Azov - Taman',1425,234,1992,1990,1993,1994,1216001658,1493666919,204,236,215,215,439,33139
Taman' - Rostov-On-Don,1117,293,1988,1990,1989,1990,1075128828,1344624948,225,262,253,254,393,29663
Taman' - Yeysk,729,322,1989,1990,1991,1992,486975989,606377411,160,175,173,173,177,13383
Rostov-Na-Donu - Rostov-On-Don,42,34,1985,1986,1987,1988,43004832,52859818,204,317,307,318,18,1351
Kavkaz - Taman',245,152,1987,1988,1995,1995,99458155,114385745,47,228,138,128,169,12665
Rostov-On-Don - Volgograd,733,316,1995,1994,1998,1999,1047147887,1356828532,320,353,366,366,407,30595
Kavkaz - Taganrog,924,434,1993,1991,1995,1995,760216231,974961897,169,213,216,218,320,24145
Rostov-On-Don - Astrakhan,160,106,2000,1999,2003,2003,406514947,532059112,578,677,646,641,169,12684
Volgograd - Tol'Yatti,272,166,1987,1989,1989,1989,478940683,590446382,469,514,516,516,184,13884
Yeysk - Bagaevskaya,124,93,1992,1990,1995,1996,83262651,106897018,128,167,177,176,30,2286
Bagaevskaya - Astrakhan,70,62,1995,1996,1998,1999,134424690,171415796,543,619,584,582,55,4157
Trudfront - Astrakhan,122,80,1991,1990,1998,1997,62552188,67277286,53,301,228,211,97,7290
Vostokmorservice - Ol'Ga,25,21,1989,1989,1997,1999,113122728,143905052,355,1050,1153,1196,52,3913
Murmansk - Ekonomiya,68,30,2001,2000,1999,1998,592018447,696945984,471,2165,941,1007,300,22821
Murmansk - Arkhangelsk,158,38,1987,1991,1991,1991,440440359,569013286,516,1820,1074,1024,624,47061
Arkhangelsk - Solovki,25,9,1981,1981,1982,1984,17420376,6944530,466,1004,806,600,49,3681
Solovki - Murmansk,3,3,1984,1984,1996,1992,18842773,2887660,672,1199,560,731,9,688
Novorossiysk - Gelendzhik,215,180,2005,2005,2009,2009,1491339279,2634144765,159,222,219,219,371,28572
Rostov-Na-Donu - Samara,12,10,1980,1982,1981,1981,34241010,44560177,761,824,833,827,13,985
Samara - Kazan,9,9,1984,1984,1977,1977,5706134,7348575,237,271,275,281,2,179
Kazan - Belomorsk,1,1,1977,1977,1977,1977,3001233,4172621,1193,1193,1193,1193,1,50
Belomorsk - Ekonomiya,7,5,1985,1986,1985,1985,4060112,5045148,221,250,251,250,1,82
Belomorsk - Arkhangelsk,35,12,1979,1986,1977,1977,34115272,36916757,245,800,416,374,16,1188
Belomorsk - Kondopoga,15,5,1977,1982,1977,1977,13075361,16824563,356,380,363,361,3,235
Kondopoga - St Petersburg,7,6,1981,1980,1980,1980,6280910,7725814,410,369,407,423,2,177
St Petersburg - Belomorsk,9,8,1986,1985,1982,1981,14773641,16439771,653,864,983,1049,7,531
Kondopoga - Cherepovets,11,7,1982,1982,1979,1978,16488036,21565129,367,981,630,633,9,700
Cherepovets - Kimry,116,44,1975,1976,1974,1974,179874291,232922541,288,471,458,465,52,3907
Kimry - Kondopoga,3,3,1976,1976,1975,1975,3885433,5109829,439,516,512,511,1,67
Azov - Volgograd,182,115,1997,1994,2000,2001,242861732,319864756,333,375,383,382,104,7820
Slavyanka - Shakhtersk,6,4,1992,1994,1989,1990,10117386,12306642,836,865,895,885,6,447
Shakhtersk - Sovgavan,32,12,1989,1989,1989,1990,72660755,85013794,141,917,1038,938,30,2268
Shakhtersk - Kholmsk,214,115,2008,2009,2010,2010,1422635970,2504935682,164,216,231,233,223,17233
Kholmsk - Sovgavan,41,18,1994,1992,1996,2001,149612590,68398053,182,812,721,602,66,4990
Petropavlovsk - Bukhta Ol'Ga,134,32,1990,1990,1990,1990,142904395,70725381,639,2743,2686,2568,344,25827
Petropavlovsk - Vostokmorservice,215,71,1996,1990,1994,1995,2345865868,2794282585,1443,2979,1878,1696,1008,76768
Vostokmorservice - Kozmino,45,33,1992,1992,1990,1991,64528168,66081899,121,471,480,397,55,4138
Kozmino - Vladivostok,57,35,1991,1990,1989,1989,67139253,82517872,102,457,328,287,49,3714
Vladivostok - Vostokmorservice,252,88,1988,1990,1994,1996,744733545,895438684,266,2237,1388,1308,794,59959
Vostokmorservice - Vostochnyy,438,94,1997,1996,2003,2002,851410589,1159918237,78,358,166,182,319,24392
Vostochnyy - Nakhodka,194,73,1995,2000,2002,2001,642554898,1078781216,98,446,368,358,279,21142
Nakhodka - Slavyanka,217,52,1991,1990,1993,1993,211745112,274607555,154,1095,298,262,401,30194
Slavyanka - Vladivostok,70,29,1989,1989,1990,1990,120020152,152691830,152,1095,534,506,148,11128
Vladivostok - Vladivostok,102,23,1984,1986,1992,1994,111846756,147233424,160,527,651,759,146,10977
Vostokmorservice - Nakhodka,396,115,1991,1994,1997,1998,567204669,816576026,108,621,458,501,427,32280
Nakhodka - Ol'Ga,44,32,1989,1988,1991,1992,20110930,25934229,163,272,237,228,33,2453
Ol'Ga - Korsakov,16,12,1991,1991,1993,1995,22404565,26636157,535,1201,694,581,19,1451
Korsakov - Uglegorsk,6,6,1986,1986,1985,1986,7901529,4373827,258,1342,1181,624,6,458
Uglegorsk - Vostokmorservice,4,4,1991,1991,1990,1990,47568643,49497614,650,2084,5023,4886,8,640
Vostokmorservice - Slavyanka,59,32,1989,1988,1990,1991,102092076,142432062,153,971,769,887,154,11574
Vladivostok - Nakhodka,490,130,1991,1992,1992,1993,574515435,755121361,121,565,393,369,674,50824
Vladivostok - Fokino,25,17,1991,1990,1992,1992,66696996,84838130,349,1147,1037,970,73,5503
Fokino - Vostokmorservice,27,18,1989,1989,1985,1985,79388748,91679853,377,1729,1109,898,73,5523
Vostokmorservice - Yuzhno-Kuril'Sk,59,41,1988,1988,1987,1987,448195671,452153614,889,2093,2199,1892,274,20733
Yuzhno-Kuril'Sk - Vanino,1,1,1988,1988,1988,1988,584166,988856,579,579,579,579,1,57
Vanino - Korsakov,66,24,1992,1989,1989,1990,155566120,198544215,301,885,891,962,82,6217
Korsakov - Yuzhno-Kuril'Sk,200,57,1990,1989,1990,1990,538557350,397216057,303,1809,1042,953,251,18960
Cherepovets - Uglich,98,38,1977,1976,1975,1975,121312402,156800102,174,386,380,383,37,2764
