int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Vostokmorservice,1179,526,1998,1999,2002,2003,14875033363,17642817442,673,1890,1091,1063,4076,310569
Vladivostok,1081,567,1996,1997,2008,2008,48978068229,55401017018,893,2191,3455,3454,6816,521945
St Petersburg,4185,1344,2001,2003,2005,2005,55761472763,66296069601,587,1001,750,1062,14043,1057033
Vostochnyy,1038,542,2007,2007,2008,2008,31683193081,54435679925,818,1316,1403,1431,3588,276926
Ust-Luga,2382,1151,2008,2008,2010,2010,70325129722,120762403817,812,951,1007,1015,8849,664768
Bronka Port,515,154,2006,2004,2008,2009,7088928085,6672578793,857,1024,855,972,1589,119535
Tuapse,1077,591,2001,2004,2006,2006,10999924849,18133982735,493,651,558,568,2851,219905
Murmansk,1148,648,2002,2005,2009,2009,53875330084,90822591670,1690,2043,2044,1999,7079,538997
Novorossiysk,3645,1580,2002,2004,2007,2007,45911979598,75752963064,481,563,569,578,6858,527908
Astrakhan,1005,344,1993,1996,1996,1996,1927253649,2411879532,521,678,627,619,1132,85041
Nakhodka,1851,1201,2006,2007,2010,2010,143990833678,198975829246,980,1962,2451,2343,12759,983296
Taganrog,1340,575,1992,1992,1994,1995,1182277136,1489416397,179,236,244,242,404,30431
Kozmino,378,207,2007,2007,2009,2008,36577934465,64076459415,1216,1931,1724,1711,3121,241621
Okha,5,5,1991,1991,1991,1992,66275792,43989308,1940,7411,5678,4187,35,2644
Kavkaz,1457,671,1996,1994,1997,1998,1694855516,2067348920,154,290,241,219,1119,84460
Taman',1613,1167,2002,2002,2007,2007,22005168838,37424443558,474,615,645,645,3632,279725
Vysotsk,563,241,2006,2007,2009,2009,12699198197,21788119228,524,759,901,932,1774,133450
Sestroretsk,1,1,1986,1986,1986,1986,383610,397777,272,272,272,272,0,9
Kronshtadt,333,142,2001,1997,2008,2008,3651360559,4042319938,902,1650,1044,1056,1484,111484
Azov,1349,504,1988,1989,1991,1991,1225394952,1526564077,198,264,270,270,718,54012
Yeysk,2157,654,1991,1991,1994,1994,1685446015,2131512972,154,202,219,218,636,47894
Rostov-On-Don,1071,481,1992,1992,1995,1996,1089303776,1401405056,214,272,277,276,630,47333
Gelendzhik,900,503,2001,2005,2009,2010,21094244414,38508744515,506,591,604,610,2121,163795
Trudfront,66,51,1988,1989,1990,1988,115896447,133885012,606,721,717,689,44,3283
Posyet,218,95,2006,2006,2006,2006,4150830887,6700832745,1005,1182,1241,1245,492,37814
Vanino,638,396,2002,2005,2007,2008,30741687799,54773463900,1400,1737,1879,1886,2820,218049
Sovgavan,117,72,1994,1995,2002,2003,890627332,1324842820,825,1713,1714,1820,264,20079
Korsakov,316,160,1992,1993,2000,2002,3118718538,2388236529,476,3109,1546,1615,883,65723
