int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,6307,3075,2007,2009,2009,2009,245725007908,437196562673,890,1291,1395,1416,21938,1685480
Container,3261,644,2005,2007,2009,2009,193112425959,211814611987,689,1807,2086,2020,20905,1603228
Chemical tanker,3752,914,2007,2007,2008,2008,50228089668,80779628123,492,930,851,859,11099,845280
General cargo,15003,2732,1993,1996,1999,2000,39715299452,53894659153,369,693,641,649,10835,820348
Service - other,215,148,1993,1993,1995,1997,1218908836,675365382,215,1336,1646,1635,857,64538
Miscellaneous - fishing,2307,644,1988,1988,1989,1989,10332748955,5486296824,468,4350,3897,3724,5858,440923
Refrigerated bulk,927,215,1991,1991,1995,1994,15461474088,16212324827,1383,2086,2736,2754,9529,720954
Oil tanker,4819,1146,2006,2005,2008,2008,174575557197,311943741645,521,1016,938,933,23130,1764976
Vehicle,405,61,2001,2003,2007,2006,8933405220,2939028929,520,1645,983,936,889,67078
Liquefied gas tanker,748,80,2010,2009,2012,2012,73821076928,56072562514,910,1477,2081,2026,8853,559166
Offshore,107,74,2002,2004,2009,2007,839054682,1019803819,653,2170,1096,1162,496,37284
Other liquids tankers,2,2,1984,1984,1987,1987,297582,430087,276,276,344,324,174,13342
Cruise,387,101,2002,1997,2005,2003,6017056144,649153059,191,490,255,260,2443,184028
Ro-Ro,928,75,1991,1994,1999,1997,4434686439,2684836545,233,785,401,403,1828,138096
Service - tug,739,300,1991,1996,2004,2005,1031293327,609111509,227,1514,2006,2016,1460,109640
Ferry-pax only,131,25,1992,1991,1992,1992,114396184,19660814,252,3545,404,369,153,11506
Ferry-RoPax,316,15,1997,1992,1990,1992,1414735956,197340661,185,673,287,297,386,29254
Yacht,1,1,1958,1958,1958,1958,31171,53582,121,121,121,121,0,0
