int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,14,14,2004,2004,1985,1982,2382419064,4565018781,3428,4783,6191,6971,375,29072
Bulk carrier,32,27,2012,2011,2012,2013,3634376632,6440839859,3480,3609,3670,3679,308,23873
Container,399,126,2005,2004,2005,2005,42186423499,49149859713,2289,2496,2680,2629,5705,441797
Service - tug,7,3,2004,2004,1998,2000,4076639,1429070,477,2160,1965,1359,19,1446
Miscellaneous - fishing,30,11,2005,2004,2005,2005,240879690,118013620,4176,8143,6896,7045,169,12663
Vehicle,35,31,2007,2008,2007,2007,4127845793,1619223550,405,1652,1829,2032,263,20370
Cruise,37,17,1995,1997,1999,1998,1129837938,134309810,448,686,646,661,279,21620
Chemical tanker,22,17,2012,2012,2013,2013,1545604157,2574819450,3292,2635,2482,2480,196,15172
General cargo,27,18,2007,2007,2009,2009,523332732,780937172,729,1837,2274,2425,98,7483
Service - other,13,8,1993,1992,1996,1996,263711140,144009406,2811,2267,3668,3617,84,6476
Liquefied gas tanker,8,2,2009,2009,2009,2009,6308631,7268394,162,162,176,176,20,1495
Ro-Ro,2,1,2013,2013,2013,2013,43538813,22160232,920,920,920,920,9,703
