int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,32,27,2012,2011,2012,2012,1618110485,2874711316,1391,1753,1634,1642,135,10430
Oil tanker,14,14,2004,2004,2001,2000,1114804786,1940247787,3029,2741,2897,2963,148,11404
Miscellaneous - fishing,30,11,2005,2004,2005,2004,166784668,82769654,1035,4848,4775,4941,126,9466
Container,399,126,2005,2004,2006,2006,24480376640,27990082249,383,1360,1555,1497,2932,226886
Service - tug,7,3,2004,2004,2001,2004,4429756,1955429,659,1693,2135,1860,14,1082
Vehicle,35,31,2007,2008,2006,2005,4721582084,1825523689,387,1962,2092,2291,280,21680
Cruise,37,17,1995,1997,2004,2003,975211982,106016064,144,622,557,522,255,19779
Chemical tanker,22,17,2012,2012,2013,2013,1137550113,1899266924,2165,2169,1827,1829,145,11246
General cargo,27,18,2007,2007,2006,2007,390459699,528417051,939,2086,1697,1641,95,7302
Service - other,13,8,1993,1992,1994,1994,199967343,104498651,1540,1326,2781,2625,60,4573
Liquefied gas tanker,8,2,2009,2009,2009,2009,12687675,14406700,265,320,354,349,43,3200
Ro-Ro,2,1,2013,2013,2013,2013,81224981,41341604,1716,1716,1716,1716,15,1162
