int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,47,7,2009,2008,2008,2008,72010190,112003626,263,258,265,267,37,2848
Cruise,486,78,2004,2002,2009,2008,31221175255,2742595827,212,494,554,555,5332,410737
Ro-Ro,111,10,1991,1990,1991,1991,86883137,88099958,100,165,150,147,120,9078
Oil tanker,33,9,2004,2004,2005,2005,92388312,142105698,328,541,494,487,53,3998
Container,286,42,2008,2007,2009,2009,1542295600,1899445220,256,494,437,433,412,31643
Service - other,4,3,1997,1996,1995,1996,11333588,4529361,3616,5570,4860,5202,27,2010
General cargo,150,28,1998,1997,2002,2002,670498707,790365860,237,513,790,751,311,23964
Offshore,64,8,1984,1987,1991,1987,8810493,10664555,95,278,161,139,20,1534
Refrigerated bulk,3,3,1996,1996,1996,1996,38607092,41727283,885,1234,1156,1157,16,1248
Bulk carrier,32,5,2008,1990,2006,2006,44453582,66344584,198,402,313,312,14,1037
Miscellaneous - fishing,23,2,1956,1968,1957,1956,955797,811333,180,190,201,202,8,566
Liquefied gas tanker,20,1,2007,2007,2007,2007,9530407,9879396,97,97,100,100,11,811
Service - tug,124,14,2003,1995,2003,2002,10338375,6624191,121,639,301,297,38,2868
Ferry-pax only,3,2,1988,1982,1973,1971,1769287,354260,495,1453,910,1077,1,92
Vehicle,12,1,2010,2010,2010,2010,22936143,6234264,83,83,95,95,4,310
Ferry-RoPax,109,2,1970,1972,1970,1970,7164914,1896214,92,76,85,85,13,966
