dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Ro-Ro,36,19,2006,2004,2004,2004,862314157,566226766,416,2575,971,1060,268,20315
Service - other,940,60,2010,2010,2008,2008,426267589,286389930,270,1212,540,549,839,63020
Service - tug,5725,225,2011,2010,2012,2012,3500054780,3140050229,202,574,355,350,2714,203937
Ferry-RoPax,9,4,1989,1992,1982,1979,177770191,26687794,1309,3106,3640,3583,118,8861
Liquefied gas tanker,24,16,2010,2007,2015,2015,1088207785,1254146452,729,1340,1461,1448,137,10542
Offshore,3141,181,2011,2010,2011,2010,1907237352,1492993438,260,807,437,448,3231,242599
Oil tanker,803,136,2005,2007,2004,2004,39263656464,71674572057,387,932,1275,1316,4909,379378
Container,314,95,2007,2007,2008,2008,6631701827,7443717327,141,328,306,315,747,57819
Chemical tanker,772,170,2012,2010,2012,2012,13249842444,21783633167,337,941,604,603,2375,183842
Bulk carrier,97,87,2008,2009,2009,2009,789547164,1350395707,214,305,307,308,110,8485
General cargo,45,41,2005,2006,2007,2007,209976775,275753741,218,438,351,341,61,4645
Miscellaneous - other,1,1,1972,1972,1972,1972,4113756,6857128,201,201,201,201,1,109
Ferry-pax only,5,1,1972,1972,1972,1972,3181524,473578,256,256,417,417,3,253
